"Task_Type","Dataset_ID","Target_Gene","Input_File","Method","Perm","Mini_Gene_Count","Inner_Workers","Task_ID"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","mcpcounter","100","3","1","12"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","epic","100","3","1","13"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","xcell","100","3","1","14"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","cibersort","100","3","1","15"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","cibersort_abs","100","3","1","16"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","ips","100","3","1","17"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","estimate","100","3","1","18"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","svr","100","3","1","19"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","lsei","100","3","1","20"
"deconvolution","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","quantiseq","100","3","1","21"
"signature_score","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","pca","100","3","1","22"
"signature_score","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","ssgsea","100","3","1","23"
"signature_score","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","zscore","100","3","1","24"
"signature_score","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","integration","100","3","1","25"
"signature_score","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","pca","100","3","1","26"
"signature_score","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","ssgsea","100","3","1","27"
"signature_score","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","zscore","100","3","1","28"
"signature_score","GTEx_COLON","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GTEx_COLON_ATF3_iobr_input.qs2","integration","100","3","1","29"
"signature_score","GSE114012",NA,"/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GSE114012_design_iobr_input.qs2","pca","100","3","1","30"
"signature_score","GSE114012",NA,"/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GSE114012_design_iobr_input.qs2","ssgsea","100","3","1","31"
"signature_score","GSE114012",NA,"/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GSE114012_design_iobr_input.qs2","zscore","100","3","1","32"
"signature_score","GSE114012",NA,"/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/GSE114012_design_iobr_input.qs2","integration","100","3","1","33"
