"Dataset_ID","Module","Task","Status","Message","Rows","Columns","Output_File"
"TCGA_COAD_01A","signature_score","calculate_sig_score::pca","success","","455","360","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/pca/TCGA_COAD_01A_ATF3_pca_scores.csv"
"TCGA_COAD_01A","signature_score","calculate_sig_score::ssgsea","success","","455","330","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/ssgsea/TCGA_COAD_01A_ATF3_ssgsea_scores.csv"
"TCGA_COAD_01A","signature_score","calculate_sig_score::zscore","success","","455","360","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/zscore/TCGA_COAD_01A_ATF3_zscore_scores.csv"
"TCGA_COAD_01A","signature_score","calculate_sig_score::integration","success","","455","954","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/signature_score/integration/TCGA_COAD_01A_ATF3_integration_scores.csv"
"GTEx_COLON","signature_score","calculate_sig_score::pca","success","","818","334","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/pca/GTEx_COLON_ATF3_pca_scores.csv"
"GTEx_COLON","signature_score","calculate_sig_score::ssgsea","success","","818","304","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/ssgsea/GTEx_COLON_ATF3_ssgsea_scores.csv"
"GTEx_COLON","signature_score","calculate_sig_score::zscore","success","","818","334","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/zscore/GTEx_COLON_ATF3_zscore_scores.csv"
"GTEx_COLON","signature_score","calculate_sig_score::integration","success","","818","928","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/integration/GTEx_COLON_ATF3_integration_scores.csv"
"GSE114012","signature_score","calculate_sig_score::pca","success","","64","335","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GSE114012/GSE114012/LRC_vs_BULK/all_designs/tables/signature_score/pca/GSE114012_pca_scores.csv"
"GSE114012","signature_score","calculate_sig_score::ssgsea","success","","64","306","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GSE114012/GSE114012/LRC_vs_BULK/all_designs/tables/signature_score/ssgsea/GSE114012_ssgsea_scores.csv"
"GSE114012","signature_score","calculate_sig_score::zscore","success","","64","335","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GSE114012/GSE114012/LRC_vs_BULK/all_designs/tables/signature_score/zscore/GSE114012_zscore_scores.csv"
"GSE114012","signature_score","calculate_sig_score::integration","success","","64","922","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GSE114012/GSE114012/LRC_vs_BULK/all_designs/tables/signature_score/integration/GSE114012_integration_scores.csv"
