"TF","DLD1","HCT15","SW48","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"STAT1","2.41905636774554011","4.013151183780374609","4.12115216518486704","3.5177865722369272561","3.51778657223692726","Activated","13","viper","13","3.51778657223692726",NA,NA,"6","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=139); Literature--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=241); GTEx--Coexpression(rank=617); Enrichr--Queries(rank=629)","524","0.14799999999999999","ARCHS4 Coexpression,0.148"
"SREBF2","-4.16008661505515587","-2.310940737892296593","-3.93399242794193027","-3.4683399269631274286","3.46833992696312743","Repressed","14","viper","14","3.46833992696312743",NA,NA,"6","ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=174); GTEx--Coexpression(rank=404); Enrichr--Queries(rank=780); ARCHS4--Coexpression(rank=1367)","852","0.25140000000000001","GTEx Coexpression,0.2514"
"ATF4","3.56764078385780081","4.959822110272997797","1.07468131382891219","3.2007147359865704139","3.20071473598657041","Activated","15","viper","15","3.20071473598657041",NA,NA,"4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","0.06408999999999999","GTEx Coexpression,0.06409"
"MAFF","4.35178523838714604","1.876352652191165093","3.01532223819125811","3.0811533762565233019","3.08115337625652330","Activated","16","viper","16","3.08115337625652330",NA,NA,"5","ENCODE--ChIP-seq(rank=43); GTEx--Coexpression(rank=61); ReMap--ChIP-seq(rank=145); Enrichr--Queries(rank=164); ARCHS4--Coexpression(rank=1618)","173","0.03796000000000000","GTEx Coexpression,0.03796"
"SNAPC4","-1.46799961831939840","-3.821282092932502206","-3.79094361276770098","-3.0267417746732001582","3.02674177467320016","Repressed","17","viper","17","3.02674177467320016",NA,NA,"4","ReMap--ChIP-seq(rank=181); GTEx--Coexpression(rank=473); ARCHS4--Coexpression(rank=886); Enrichr--Queries(rank=1237)","964","0.29430000000000001","GTEx Coexpression,0.2943"
"SREBF1","-3.60328539555450877","-2.814611831911720596","-2.32444091606549597","-2.9141127145105749641","2.91411271451057496","Repressed","18","viper","18","2.91411271451057496",NA,NA,"6","Literature--ChIP-seq(rank=81); ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=449); ARCHS4--Coexpression(rank=819); GTEx--Coexpression(rank=1414)","1030","0.31979999999999992","Enrichr Queries,0.3198"
"SIX5","1.43320376453322340","-3.247139464344354742","-3.81286835661762291","-1.8756013521429180102","2.83107052849840057","Repressed","19","viper","19","2.83107052849840057",NA,NA,"5","ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=627); Enrichr--Queries(rank=644); GTEx--Coexpression(rank=1390)","1125","0.36030000000000001","ReMap ChIP-seq,0.3603"
"ARID3A","4.43661851234271953","2.736185527531838524","1.22973119336401804","2.8008450777461919579","2.80084507774619196","Activated","20","viper","20","2.80084507774619196",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=443); ARCHS4--Coexpression(rank=560); GTEx--Coexpression(rank=738)","1019","0.31550000000000000","Enrichr Queries,0.3155"
"TFDP1","-5.14447575612769015","1.121279616607426588","-2.04235160361186185","-2.0218492477107083971","2.76936899211565946","Repressed","21","viper","21","2.76936899211565946",NA,NA,"4","ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=376); GTEx--Coexpression(rank=825); Enrichr--Queries(rank=1319)","787","0.23100000000000001","ARCHS4 Coexpression,0.231"
"MAZ","1.63051633030538201","-3.411337092621974154","-3.17976587678199474","-1.6535288796995288862","2.74053976656978371","Repressed","22","viper","22","2.74053976656978371",NA,NA,"5","ENCODE--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=635); Enrichr--Queries(rank=1239); GTEx--Coexpression(rank=1293)","1178","0.39000000000000001","ARCHS4 Coexpression,0.39"
"ESR1","2.74697651144673927","1.907512322220784151","3.55125800525131208","2.7352489463062781283","2.73524894630627813","Activated","23","viper","23","2.73524894630627813",NA,NA,"6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=25); ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=96); GTEx--Coexpression(rank=1594)","26","0.00609800000000000","Literature ChIP-seq,0.006098"
"SP3","3.01007029414686356","1.291031234815536166","3.80243111494020081","2.7011775479675335099","2.70117754796753351","Activated","24","viper","24","2.70117754796753351",NA,NA,"3","Enrichr--Queries(rank=403); GTEx--Coexpression(rank=1011); ARCHS4--Coexpression(rank=1073)","944","0.28699999999999998","Enrichr Queries,0.287"
"FOXP1","-1.49291057597364585","0.867177890051292977","-5.71382148112536647","-2.1131847223492399301","2.69130331571676829","Repressed","25","viper","25","2.69130331571676829",NA,NA,"5","Literature--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=219); GTEx--Coexpression(rank=440); Enrichr--Queries(rank=1052); ARCHS4--Coexpression(rank=1063)","582","0.16460000000000000","Literature ChIP-seq,0.1646"
"GRHL2","2.92667389893475471","-0.907408813998972774","4.21144279513861619","2.0769026266914658585","2.68184183602411474","Activated","26","viper","26","2.68184183602411474",NA,NA,"5","Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=118); GTEx--Coexpression(rank=161); ARCHS4--Coexpression(rank=162); Enrichr--Queries(rank=410)","392","0.09951000000000000","ARCHS4 Coexpression,0.09951"
"FOXM1","-4.39917797743087746","1.620527273478997721","-1.85514578992354551","-1.5445988312918084162","2.62495034694447371","Repressed","27","viper","27","2.62495034694447371",NA,NA,"6","ENCODE--ChIP-seq(rank=26); Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=264); ARCHS4--Coexpression(rank=366); GTEx--Coexpression(rank=831); Enrichr--Queries(rank=1348)","753","0.22030000000000000","ENCODE ChIP-seq,0.2203"
"MAFK","3.85921519668183555","0.325151051164306648","3.61248948673444747","2.5989519115268633342","2.59895191152686333","Activated","28","viper","28","2.59895191152686333",NA,NA,"5","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=123); Enrichr--Queries(rank=453); ARCHS4--Coexpression(rank=1168); GTEx--Coexpression(rank=1281)","570","0.16100000000000000","ENCODE ChIP-seq,0.161"
"JUN","1.62917822369168164","3.451864185640127314","2.60211167312150993","2.5610513608177729594","2.56105136081777296","Activated","29","viper","29","2.56105136081777296",NA,NA,"6","ENCODE--ChIP-seq(rank=1); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=76); Enrichr--Queries(rank=338)","19","0.00435600000000000","GTEx Coexpression,0.004356"
"MAFG","3.36451796125361868","-1.059928133101713410","3.19627128663963500","1.8336203715971801653","2.54023912699832222","Activated","30","viper","30","2.54023912699832222",NA,NA,"4","ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=141); ARCHS4--Coexpression(rank=252); Enrichr--Queries(rank=994)","110","0.02357000000000000","ReMap ChIP-seq,0.02357"
"PBX3","4.03127299976483311","-1.051286903123621164","2.53483002890738973","1.8382720418495337444","2.53912997726528156","Activated","31","viper","31","2.53912997726528156",NA,NA,"5","ENCODE--ChIP-seq(rank=70); GTEx--Coexpression(rank=112); ReMap--ChIP-seq(rank=271); Enrichr--Queries(rank=298); ARCHS4--Coexpression(rank=427)","298","0.06970000000000000","GTEx Coexpression,0.0697"
"KLF5","4.94405759019489999","-0.721326517252965038","1.84022237760354335","2.0209844835151593578","2.50186882835046953","Activated","32","viper","32","2.50186882835046953",NA,NA,"5","ARCHS4--Coexpression(rank=25); Literature--ChIP-seq(rank=30); Enrichr--Queries(rank=38); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=598)","72","0.01536000000000000","ARCHS4 Coexpression,0.01536"
"SMAD3","2.59509321030769557","0.563848615881690662","4.33576805832317813","2.4982366281708547895","2.49823662817085479","Activated","33","viper","33","2.49823662817085479",NA,NA,"5","Literature--ChIP-seq(rank=6); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=134); GTEx--Coexpression(rank=281); ARCHS4--Coexpression(rank=908)","166","0.03659000000000000","Literature ChIP-seq,0.03659"
"MAFB","2.77338914968814532","0.319909084258435339","4.37201530129516414","2.4884378450805813010","2.48843784508058130","Activated","34","viper","34","2.48843784508058130",NA,NA,"4","Enrichr--Queries(rank=43); ReMap--ChIP-seq(rank=55); GTEx--Coexpression(rank=173); ARCHS4--Coexpression(rank=234)","139","0.03063000000000000","Enrichr Queries,0.03063"
"KLF1","3.74621959076838973","-2.118313824627513942","1.53878590466706333","1.0555638902693129655","2.46777310668765582","Activated","35","viper","35","2.46777310668765582",NA,NA,"5","Literature--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=591); GTEx--Coexpression(rank=744); Enrichr--Queries(rank=821)","1128","0.36299999999999999","ARCHS4 Coexpression,0.363"
"RUNX2","3.32246361203085439","0.932581430608569351","3.11762369738285061","2.4575562466740912271","2.45755624667409123","Activated","36","viper","36","2.45755624667409123",NA,NA,"5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=92); Enrichr--Queries(rank=110); ARCHS4--Coexpression(rank=879); GTEx--Coexpression(rank=1284)","181","0.04040000000000000","ReMap ChIP-seq,0.0404"
"ARNTL","2.65364398036686033","3.705594575306273786","0.99089075876551824","2.4500431048128841205","2.45004310481288412","Activated","37","viper","37","2.45004310481288412",NA,NA,"4","Enrichr--Queries(rank=88); ReMap--ChIP-seq(rank=196); ARCHS4--Coexpression(rank=904); GTEx--Coexpression(rank=1066)","271","0.06268000000000000","Enrichr Queries,0.06268"
"HIF1A","2.70918050759820472","2.382768585626033886","2.17069626966808737","2.4208817876307753281","2.42088178763077533","Activated","38","viper","38","2.42088178763077533",NA,NA,"5","Literature--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=95); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=723); GTEx--Coexpression(rank=1463)","243","0.05488000000000000","Literature ChIP-seq,0.05488"
"RELB","2.19578300471818411","2.661002567306789857","2.34461248050548621","2.4004660175101530939","2.40046601751015309","Activated","39","viper","39","2.40046601751015309",NA,NA,"4","Enrichr--Queries(rank=165); ARCHS4--Coexpression(rank=171); ReMap--ChIP-seq(rank=190); GTEx--Coexpression(rank=909)","407","0.10500000000000000","ARCHS4 Coexpression,0.105"
"NR2F1","2.91861926951821316","-3.761173807969442784","-0.49196228804074627","-0.4448389421639920016","2.39058512184280048","Repressed","40","viper","40","2.39058512184280048",NA,NA,"4","Enrichr--Queries(rank=103); ReMap--ChIP-seq(rank=272); GTEx--Coexpression(rank=961); ARCHS4--Coexpression(rank=1055)","311","0.07335999999999999","Enrichr Queries,0.07336"
"AHR","1.56977611742686851","0.771249622124562273","4.77599472082749443","2.3723401534596417761","2.37234015345964178","Activated","41","viper","41","2.37234015345964178",NA,NA,"5","Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=36); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=200); GTEx--Coexpression(rank=796)","120","0.02564000000000000","Enrichr Queries,0.02564"
"E2F3","-3.63900859024534284","0.725023802001434903","-2.50152020725467805","-1.8051683318328619610","2.28851753316715190","Repressed","42","viper","42","2.28851753316715190",NA,NA,"3","ARCHS4--Coexpression(rank=369); GTEx--Coexpression(rank=489); Enrichr--Queries(rank=968)","775","0.22670000000000001","ARCHS4 Coexpression,0.2267"
"TCF12","2.07046754012205358","0.894592927196102838","3.86622611022227192","2.2770955258468092985","2.27709552584680930","Activated","43","viper","43","2.27709552584680930",NA,NA,"5","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=38); ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=1111); ARCHS4--Coexpression(rank=1171)","111","0.02365000000000000","GTEx Coexpression,0.02365"
"MNT","-4.20857479631717091","-1.757219571153684212","-0.78163425278863086","-2.2491428734198284367","2.24914287341982844","Repressed","44","viper","44","2.24914287341982844",NA,NA,"4","ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=298); ARCHS4--Coexpression(rank=708); Enrichr--Queries(rank=794)","645","0.18540000000000001","GTEx Coexpression,0.1854"
"KLF4","2.37568099381418829","0.728666249955261969","3.63529184798119420","2.2465463639168814503","2.24654636391688145","Activated","45","viper","45","2.24654636391688145",NA,NA,"5","Literature--ChIP-seq(rank=31); ARCHS4--Coexpression(rank=148); GTEx--Coexpression(rank=155); Enrichr--Queries(rank=158); ReMap--ChIP-seq(rank=258)","367","0.09091000000000000","ARCHS4 Coexpression,0.09091"
"SMAD5","-3.07797157809046595","-0.928134597573253228","-2.70520902023349885","-2.2371050652990724927","2.23710506529907249","Repressed","46","viper","46","2.23710506529907249",NA,NA,"4","ReMap--ChIP-seq(rank=32); GTEx--Coexpression(rank=1084); Enrichr--Queries(rank=1240); ARCHS4--Coexpression(rank=1497)","414","0.10770000000000000","ReMap ChIP-seq,0.1077"
"SMAD4","3.03854905165048939","0.328810589916454898","3.32752663671971316","2.2316287594288861662","2.23162875942888617","Activated","47","viper","47","2.23162875942888617",NA,NA,"5","ReMap--ChIP-seq(rank=22); Literature--ChIP-seq(rank=25); ARCHS4--Coexpression(rank=289); GTEx--Coexpression(rank=792); Enrichr--Queries(rank=1332)","315","0.07407000000000000","ReMap ChIP-seq,0.07407"
"TCF4","1.39809474929839750","-0.888080488354376363","4.38475953458455425","1.6315912651761916852","2.22364492407910941","Activated","48","viper","48","2.22364492407910941",NA,NA,"5","Literature--ChIP-seq(rank=26); GTEx--Coexpression(rank=124); ReMap--ChIP-seq(rank=158); Enrichr--Queries(rank=374); ARCHS4--Coexpression(rank=1036)","323","0.07716000000000001","GTEx Coexpression,0.07716"
"WT1","1.62032597465482664","3.354981633814162478","1.67846979386176232","2.2179258007769173666","2.21792580077691737","Activated","49","viper","49","2.21792580077691737",NA,NA,"4","GTEx--Coexpression(rank=13); Enrichr--Queries(rank=28); Literature--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=1229)","38","0.00809000000000000","GTEx Coexpression,0.00809"
"THAP1","1.33699347056790629","-4.517099659721740323","-0.79593834519460782","-1.3253481781161473574","2.21667715849475133","Repressed","50","viper","50","2.21667715849475133",NA,NA,"5","ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=662); GTEx--Coexpression(rank=731); ARCHS4--Coexpression(rank=784)","1295","0.45490000000000003","GTEx Coexpression,0.4549"
"IRF4","1.92790382252746983","1.790248482926084517","2.92231172608523115","2.2134880105129286498","2.21348801051292865","Activated","51","viper","51","2.21348801051292865",NA,NA,"5","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=221); GTEx--Coexpression(rank=276); Enrichr--Queries(rank=828)","252","0.05724000000000000","ReMap ChIP-seq,0.05724"
"TFAP4","4.54345748374447833","0.012697120319263884","2.07440808578843061","2.2101875632840575214","2.21018756328405752","Activated","52","viper","52","2.21018756328405752",NA,NA,"4","ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=494); Enrichr--Queries(rank=806); ARCHS4--Coexpression(rank=1043)","996","0.30740000000000001","GTEx Coexpression,0.3074"
"NCOA1","1.39067625448923726","1.494268836736341255","3.69328655923243510","2.1927438834860044636","2.19274388348600446","Activated","53","viper","53","2.19274388348600446",NA,NA,"4","ReMap--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=365); GTEx--Coexpression(rank=1076); Enrichr--Queries(rank=1343)","450","0.12120000000000000","ReMap ChIP-seq,0.1212"
"MBD2","3.31411030256418560","-2.570406004767820107","-0.68196198116187301","0.0205807722114974938","2.18882609616462620","Activated","54","viper","54","2.18882609616462620",NA,NA,"4","ReMap--ChIP-seq(rank=165); Enrichr--Queries(rank=1063); ARCHS4--Coexpression(rank=1209); GTEx--Coexpression(rank=1265)","1440","0.55559999999999998","ReMap ChIP-seq,0.5556"
"STAT3","1.14211210120723816","3.409344999119916064","2.00079010378817612","2.1840824013717767826","2.18408240137177678","Activated","55","viper","55","2.18408240137177678",NA,NA,"6","ENCODE--ChIP-seq(rank=10); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=237); Enrichr--Queries(rank=621); GTEx--Coexpression(rank=721)","310","0.07317000000000000","Literature ChIP-seq,0.07317"
"GATA6","3.33945051466475640","-0.502950696741214509","2.69933935806419623","1.8452797253292461122","2.18058018982338897","Activated","56","viper","56","2.18058018982338897",NA,NA,"5","ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=30); Literature--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=649); GTEx--Coexpression(rank=1607)","100","0.02137000000000000","Enrichr Queries,0.02137"
"FOXO1","2.75597699666636942","1.188827766297198441","2.58257240815519795","2.1757923903729219361","2.17579239037292194","Activated","57","viper","57","2.17579239037292194",NA,NA,"5","Enrichr--Queries(rank=26); Literature--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=96); GTEx--Coexpression(rank=182); ARCHS4--Coexpression(rank=1076)","88","0.01852000000000000","Enrichr Queries,0.01852"
"BACH2","1.52804424125398408","1.553390020839162888","3.36967284718100091","2.1503690364247156630","2.15036903642471566","Activated","58","viper","58","2.15036903642471566",NA,NA,"4","ReMap--ChIP-seq(rank=91); GTEx--Coexpression(rank=196); Enrichr--Queries(rank=311); ARCHS4--Coexpression(rank=458)","452","0.12200000000000000","GTEx Coexpression,0.122"
"NFKB1","1.07213145676141508","4.214355302981851459","1.12522248594107244","2.1372364152281129179","2.13723641522811292","Activated","59","viper","59","2.13723641522811292",NA,NA,"4","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=725); Enrichr--Queries(rank=765)","532","0.15049999999999999","ARCHS4 Coexpression,0.1505"
"RFX1","2.74327659955428604","-1.323205417879384171","-2.27128286064096585","-0.2837372263220213076","2.11258829269154536","Repressed","60","viper","60","2.11258829269154536",NA,NA,"4","ReMap--ChIP-seq(rank=11); ARCHS4--Coexpression(rank=435); GTEx--Coexpression(rank=1055); Enrichr--Queries(rank=1297)","169","0.03704000000000000","ReMap ChIP-seq,0.03704"
"STAT5B","1.52738396603196036","2.901933350067649631","1.89836769259084459","2.1092283362301516014","2.10922833623015160","Activated","61","viper","61","2.10922833623015160",NA,NA,"4","ReMap--ChIP-seq(rank=60); Enrichr--Queries(rank=492); GTEx--Coexpression(rank=709); ARCHS4--Coexpression(rank=1280)","705","0.20200000000000001","ReMap ChIP-seq,0.202"
"ZBTB11","-1.42812112276862502","2.920160247699098210","1.97453449871527420","1.1555245412152490569","2.10760528972766581","Activated","62","viper","62","2.10760528972766581",NA,NA,"4","ReMap--ChIP-seq(rank=280); GTEx--Coexpression(rank=524); Enrichr--Queries(rank=1133); ARCHS4--Coexpression(rank=1227)","1046","0.32610000000000000","GTEx Coexpression,0.3261"
"CLOCK","3.10139164604865325","1.651995414660614170","1.55122023328592329","2.1015357646650634216","2.10153576466506342","Activated","63","viper","63","2.10153576466506342",NA,NA,"5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=935); Enrichr--Queries(rank=1165); GTEx--Coexpression(rank=1464)","507","0.14019999999999999","Literature ChIP-seq,0.1402"
"RELA","1.24731340464919405","3.791390201820280748","1.24215167503629620","2.0936184271685900349","2.09361842716859003","Activated","64","viper","64","2.09361842716859003",NA,NA,"6","ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=242); GTEx--Coexpression(rank=756); Enrichr--Queries(rank=774); ARCHS4--Coexpression(rank=896)","782","0.22880000000000000","ENCODE ChIP-seq,0.2288"
"ZBTB33","-2.06727205670471603","1.720191614524736234","2.39290256201450990","0.6819407066115100724","2.06012207774798739","Activated","65","viper","65","2.06012207774798739",NA,NA,"5","ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=1008); ARCHS4--Coexpression(rank=1185); GTEx--Coexpression(rank=1267)","1064","0.33329999999999999","ReMap ChIP-seq,0.3333"
"LEF1","-3.88113704122071601","-0.945501079766534414","-1.32698396793789963","-2.0512073629750502413","2.05120736297505024","Repressed","66","viper","66","2.05120736297505024",NA,NA,"4","Enrichr--Queries(rank=241); ReMap--ChIP-seq(rank=288); GTEx--Coexpression(rank=1025); ARCHS4--Coexpression(rank=1246)","602","0.17169999999999999","Enrichr Queries,0.1717"
"KLF9","5.45002364507030101","-0.403018233098599021","0.29133348816233134","1.7794463000446778533","2.04812512211041087","Activated","67","viper","67","2.04812512211041087",NA,NA,"4","ARCHS4--Coexpression(rank=10); Enrichr--Queries(rank=153); ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=719)","27","0.00614300000000000","ARCHS4 Coexpression,0.006143"
"ETV4","1.40505100827174090","3.724344957546380730","0.98001337966592605","2.0364697818280155239","2.03646978182801552","Activated","68","viper","68","2.03646978182801552",NA,NA,"4","Enrichr--Queries(rank=37); ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=272); GTEx--Coexpression(rank=1279)","123","0.02635000000000000","Enrichr Queries,0.02635"
"MYCN","-4.25169913215898543","0.467515773535302159","-1.38327948356353381","-1.7224876140624056919","2.03416479641927372","Repressed","69","viper","69","2.03416479641927372",NA,NA,"5","Literature--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=288); ARCHS4--Coexpression(rank=858); GTEx--Coexpression(rank=1259)","714","0.20510000000000000","Enrichr Queries,0.2051"
"ARNT","1.70724026021838249","-0.661199515603735133","3.73347373577021457","1.5931714934616205692","2.03397117053077769","Activated","70","viper","70","2.03397117053077769",NA,NA,"5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=205); ARCHS4--Coexpression(rank=316); GTEx--Coexpression(rank=559); Enrichr--Queries(rank=983)","115","0.02439000000000000","Literature ChIP-seq,0.02439"
