SCAVENGING OF HEME FROM PLASMA,1.0,1.0,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BINDING AND UPTAKE OF LIGANDS BY SCAVENGER
TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.11904761904761904,0.23809523809523808,0.11904761904761904,0.35714285714285715,0.11904761904761904,0.11904761904761904,0.38095238095238093,0.36904761904761907,0.35714285714285715,1.0,1.0,0.5119047619047619,0.38095238095238093,0.36904761904761907,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TRANSPORT OF MATURE MRNAS DERIVED FROM
INTRONLESS TRANSCRIPTS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.23255813953488372,0.46511627906976744,0.23255813953488372,0.6976744186046512,0.23255813953488372,0.23255813953488372,0.7441860465116279,0.7209302325581395,0.6976744186046512,1.0,1.0,1.0,0.7441860465116279,0.7209302325581395,0.6976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRNP ASSEMBLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.18518518518518517,0.37037037037037035,0.18518518518518517,0.5555555555555556,0.18518518518518517,0.18518518518518517,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7222222222222222,0.5925925925925926,0.5925925925925926,1.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INFLUENZA INFECTION,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0880503144654088,0.07547169811320754,0.16352201257861634,0.0880503144654088,0.23270440251572327,0.08176100628930817,0.07547169811320754,0.20125786163522014,0.27044025157232704,0.18867924528301888,0.3018867924528302,0.1949685534591195,0.1949685534591195,0.18867924528301888,1.0,0.8616352201257862,0.5534591194968553,0.031446540880503145,0.012578616352201259,0.012578616352201259,0.025157232704402517,0.0,0.012578616352201259,0.012578616352201259,0.0
"INFLUENZA VIRAL RNA TRANSCRIPTION AND
REPLICATION",0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948905109489051,0.08029197080291971,0.1678832116788321,0.0948905109489051,0.24817518248175183,0.08759124087591241,0.08029197080291971,0.21897810218978103,0.21897810218978103,0.21897810218978103,0.3357664233576642,0.21897810218978103,0.21897810218978103,0.21897810218978103,1.0,1.0,0.6423357664233577,0.0364963503649635,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.0,0.014598540145985401,0.014598540145985401,0.0
RRNA PROCESSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0047169811320754715,0.014150943396226415,0.014150943396226415,0.02358490566037736,0.014150943396226415,0.0047169811320754715,0.06132075471698113,0.0,0.0,0.02358490566037736,0.0,0.0,0.0,0.41509433962264153,0.41509433962264153,1.0,0.2830188679245283,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.009433962264150943,0.009433962264150943,0.0
RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTHESIS OF DNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.1574074074074074,0.49074074074074076,0.49074074074074076,0.49074074074074076,0.0,0.0,0.0,0.0,0.009259259259259259,0.037037037037037035,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,1.0,1.0,1.0,0.26851851851851855,0.6759259259259259,0.5740740740740741,0.21296296296296297
S PHASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5933333333333334,0.11333333333333333,0.41333333333333333,0.41333333333333333,0.42,0.06,0.06,0.0,0.0,0.006666666666666667,0.02666666666666667,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,0.72,1.0,0.72,0.19333333333333333,0.68,0.4266666666666667,0.16
DNA REPLICATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657608695652174,0.09239130434782608,0.29347826086956524,0.28804347826086957,0.6141304347826086,0.0,0.0,0.0,0.010869565217391304,0.005434782608695652,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.010869565217391304,0.010869565217391304,0.0,0.5869565217391305,0.5869565217391305,1.0,0.1793478260869565,0.41847826086956524,0.5380434782608695,0.14130434782608695
ACTIVATION OF THE PRE REPLICATIVE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8787878787878788,0.8787878787878788,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
MITOTIC G1 PHASE AND G1 S TRANSITION,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.0,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.02158273381294964,0.539568345323741,0.02877697841726619,0.31654676258992803,0.28776978417266186,0.3237410071942446,0.04316546762589928,0.04316546762589928,0.0,0.0,0.014388489208633094,0.02877697841726619,0.0,0.0,0.0,0.014388489208633094,0.014388489208633094,0.014388489208633094,0.0,0.5251798561151079,0.7338129496402878,0.5539568345323741,0.23741007194244604,1.0,0.460431654676259,0.16546762589928057
G2 M CHECKPOINTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.23076923076923078,0.4807692307692308,0.03205128205128205,0.019230769230769232,0.0,0.0,0.00641025641025641,0.02564102564102564,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.3974358974358974,0.41025641025641024,0.6346153846153846,0.14102564102564102,0.41025641025641024,1.0,0.23717948717948717
"ACTIVATION OF ATR IN RESPONSE TO REPLICATION
STRESS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216216216216216,0.6486486486486487,0.7027027027027027,0.5945945945945946,0.6216216216216216,1.0,1.0
