"TF","ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SREBF2","-4.382686152532747847","-4.382686152532747847","4.382686152532747847","Repressed","11","viper","11","4.382686152532747847",NA,NA,"6","ENCODE--ChIP-seq(rank=90); Literature--ChIP-seq(rank=140); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=729); Enrichr--Queries(rank=1074); ARCHS4--Coexpression(rank=1457)","1267","0.453600000000000003","GTEx Coexpression,0.4536"
"HBP1","-4.304350588481192119","-4.304350588481192119","4.304350588481192119","Repressed","12","viper","12","4.304350588481192119",NA,NA,"4","ARCHS4--Coexpression(rank=27); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=134); GTEx--Coexpression(rank=1044)","64","0.016580000000000001","ARCHS4 Coexpression,0.01658"
"HIF1A","4.246172380128590440","4.246172380128590440","4.246172380128590440","Activated","13","viper","13","4.246172380128590440",NA,NA,"5","Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=62); GTEx--Coexpression(rank=272); Enrichr--Queries(rank=298); ARCHS4--Coexpression(rank=1268)","456","0.115900000000000003","Literature ChIP-seq,0.1159"
"SNAPC4","-4.204891620994587242","-4.204891620994587242","4.204891620994587242","Repressed","14","viper","14","4.204891620994587242",NA,NA,"4","ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=784); ARCHS4--Coexpression(rank=1158); Enrichr--Queries(rank=1372)","1321","0.487900000000000000","GTEx Coexpression,0.4879"
"FOXP1","-3.868907984867177685","-3.868907984867177685","3.868907984867177685","Repressed","15","viper","15","3.868907984867177685",NA,NA,"5","Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=469); ARCHS4--Coexpression(rank=1270); Enrichr--Queries(rank=1363)","761","0.213400000000000006","Literature ChIP-seq,0.2134"
"MAFB","3.859332815734305644","3.859332815734305644","3.859332815734305644","Activated","16","viper","16","3.859332815734305644",NA,NA,"4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=131); Enrichr--Queries(rank=144); ARCHS4--Coexpression(rank=667)","334","0.081519999999999995","GTEx Coexpression,0.08152"
"ESR1","3.853214734031328081","3.853214734031328081","3.853214734031328081","Activated","17","viper","17","3.853214734031328081",NA,NA,"6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=88); Enrichr--Queries(rank=849); ARCHS4--Coexpression(rank=1273); GTEx--Coexpression(rank=1595)","411","0.101700000000000013","ENCODE ChIP-seq,0.1017"
"ARID3A","3.750903449425753600","3.750903449425753600","3.750903449425753600","Activated","18","viper","18","3.750903449425753600",NA,NA,"5","ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=134); Enrichr--Queries(rank=542); GTEx--Coexpression(rank=568); ARCHS4--Coexpression(rank=918)","1086","0.353499999999999981","GTEx Coexpression,0.3535"
"SREBF1","-3.711084160247086761","-3.711084160247086761","3.711084160247086761","Repressed","19","viper","19","3.711084160247086761",NA,NA,"6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=253); GTEx--Coexpression(rank=255); Enrichr--Queries(rank=308); ARCHS4--Coexpression(rank=1110)","595","0.158700000000000008","GTEx Coexpression,0.1587"
"MAFK","3.669459779167135061","3.669459779167135061","3.669459779167135061","Activated","20","viper","20","3.669459779167135061",NA,NA,"5","ENCODE--ChIP-seq(rank=10); Enrichr--Queries(rank=23); ReMap--ChIP-seq(rank=98); GTEx--Coexpression(rank=415); ARCHS4--Coexpression(rank=1335)","63","0.016379999999999999","Enrichr Queries,0.01638"
"PRDM14","3.648936906104898181","3.648936906104898181","3.648936906104898181","Activated","21","viper","21","3.648936906104898181",NA,NA,"5","Literature--ChIP-seq(rank=132); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=1149); GTEx--Coexpression(rank=1324); ARCHS4--Coexpression(rank=1367)","1529","0.663300000000000001","ReMap ChIP-seq,0.6633"
"MAFF","3.592393239117196657","3.592393239117196657","3.592393239117196657","Activated","22","viper","22","3.592393239117196657",NA,NA,"5","Enrichr--Queries(rank=2); ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=77); ARCHS4--Coexpression(rank=1622)","5","0.001425000000000000","Enrichr Queries,0.001425"
"JUN","3.583143960341071743","3.583143960341071743","3.583143960341071743","Activated","23","viper","23","3.583143960341071743",NA,NA,"6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); ARCHS4--Coexpression(rank=8); Enrichr--Queries(rank=15)","13","0.003734000000000000","GTEx Coexpression,0.003734"
"EBF1","3.548270915991185603","3.548270915991185603","3.548270915991185603","Activated","24","viper","24","3.548270915991185603",NA,NA,"5","ENCODE--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=175); GTEx--Coexpression(rank=217); ReMap--ChIP-seq(rank=263); Enrichr--Queries(rank=983)","429","0.107499999999999998","ARCHS4 Coexpression,0.1075"
"NCOA1","3.524670637092874426","3.524670637092874426","3.524670637092874426","Activated","25","viper","25","3.524670637092874426",NA,NA,"4","ReMap--ChIP-seq(rank=121); ARCHS4--Coexpression(rank=540); GTEx--Coexpression(rank=1197); Enrichr--Queries(rank=1267)","1048","0.331699999999999995","ARCHS4 Coexpression,0.3317"
"NFKB1","3.519012393028369878","3.519012393028369878","3.519012393028369878","Activated","26","viper","26","3.519012393028369878",NA,NA,"4","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=52); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=224)","36","0.009828000000000000","ARCHS4 Coexpression,0.009828"
"CLOCK","3.393608421064146619","3.393608421064146619","3.393608421064146619","Activated","27","viper","27","3.393608421064146619",NA,NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=1121); GTEx--Coexpression(rank=1498)","326","0.079269999999999993","Literature ChIP-seq,0.07927"
"FOXO1","3.356215101191188488","3.356215101191188488","3.356215101191188488","Activated","28","viper","28","3.356215101191188488",NA,NA,"5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=126); Enrichr--Queries(rank=193); ARCHS4--Coexpression(rank=416); GTEx--Coexpression(rank=790)","198","0.048779999999999997","Literature ChIP-seq,0.04878"
"CEBPB","3.340337765470067222","3.340337765470067222","3.340337765470067222","Activated","29","viper","29","3.340337765470067222",NA,NA,"6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1006); ARCHS4--Coexpression(rank=1106)","90","0.022079999999999999","Enrichr Queries,0.02208"
"MBD1","3.304880230659724916","3.304880230659724916","3.304880230659724916","Activated","30","viper","30","3.304880230659724916",NA,NA,"3","ARCHS4--Coexpression(rank=403); GTEx--Coexpression(rank=428); Enrichr--Queries(rank=707)","858","0.247499999999999998","ARCHS4 Coexpression,0.2475"
"TCF12","3.287272729212313394","3.287272729212313394","3.287272729212313394","Activated","31","viper","31","3.287272729212313394",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=250); Enrichr--Queries(rank=1325); ARCHS4--Coexpression(rank=1337); GTEx--Coexpression(rank=1601)","208","0.050849999999999999","ENCODE ChIP-seq,0.05085"
"STAT5B","3.238657900409720014","3.238657900409720014","3.238657900409720014","Activated","32","viper","32","3.238657900409720014",NA,NA,"4","ReMap--ChIP-seq(rank=281); ARCHS4--Coexpression(rank=481); GTEx--Coexpression(rank=558); Enrichr--Queries(rank=744)","970","0.295499999999999985","ARCHS4 Coexpression,0.2955"
"NCOA3","3.233242830265689705","3.233242830265689705","3.233242830265689705","Activated","33","viper","33","3.233242830265689705",NA,NA,"4","ReMap--ChIP-seq(rank=130); GTEx--Coexpression(rank=423); Enrichr--Queries(rank=812); ARCHS4--Coexpression(rank=1357)","896","0.263199999999999990","GTEx Coexpression,0.2632"
"PBX2","3.164606440257510922","3.164606440257510922","3.164606440257510922","Activated","34","viper","34","3.164606440257510922",NA,NA,"4","ReMap--ChIP-seq(rank=30); GTEx--Coexpression(rank=301); ARCHS4--Coexpression(rank=602); Enrichr--Queries(rank=1237)","407","0.101000000000000006","ReMap ChIP-seq,0.101"
"ZNF274","-3.130609466300070753","-3.130609466300070753","3.130609466300070753","Repressed","35","viper","35","3.130609466300070753",NA,NA,"6","ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=119); Literature--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=208); Enrichr--Queries(rank=312); GTEx--Coexpression(rank=1104)","496","0.127799999999999997","ARCHS4 Coexpression,0.1278"
"IRF3","-3.111658060489707722","-3.111658060489707722","3.111658060489707722","Repressed","36","viper","36","3.111658060489707722",NA,NA,"5","ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=456); Enrichr--Queries(rank=1055); GTEx--Coexpression(rank=1533)","937","0.280100000000000016","ARCHS4 Coexpression,0.2801"
"E2F1","-3.096307961903896899","-3.096307961903896899","3.096307961903896899","Repressed","37","viper","37","3.096307961903896899",NA,NA,"6","Literature--ChIP-seq(rank=63); ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=905); ARCHS4--Coexpression(rank=973); Enrichr--Queries(rank=1271)","1141","0.384099999999999997","Literature ChIP-seq,0.3841"
"IRF4","3.088987727742548817","3.088987727742548817","3.088987727742548817","Activated","38","viper","38","3.088987727742548817",NA,NA,"5","ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=323); GTEx--Coexpression(rank=425)","34","0.009214000000000000","ARCHS4 Coexpression,0.009214"
"JUNB","3.056364855608557640","3.056364855608557640","3.056364855608557640","Activated","39","viper","39","3.056364855608557640",NA,NA,"4","Enrichr--Queries(rank=21); ReMap--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=54)","57","0.014959999999999999","Enrichr Queries,0.01496"
"NR2C2","-3.049977767280124485","-3.049977767280124485","3.049977767280124485","Repressed","40","viper","40","3.049977767280124485",NA,NA,"5","ENCODE--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=829); GTEx--Coexpression(rank=851); Enrichr--Queries(rank=1239)","1361","0.509199999999999986","ARCHS4 Coexpression,0.5092"
"TFDP1","-3.040909680151421934","-3.040909680151421934","3.040909680151421934","Repressed","41","viper","41","3.040909680151421934",NA,NA,"4","ReMap--ChIP-seq(rank=272); ARCHS4--Coexpression(rank=786); GTEx--Coexpression(rank=1022); Enrichr--Queries(rank=1322)","1315","0.482800000000000007","ARCHS4 Coexpression,0.4828"
"PDX1","3.026496590820558996","3.026496590820558996","3.026496590820558996","Activated","42","viper","42","3.026496590820558996",NA,NA,"5","ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=128); GTEx--Coexpression(rank=149); Enrichr--Queries(rank=1131)","55","0.014740000000000000","ARCHS4 Coexpression,0.01474"
"RUNX2","3.014135451411424249","3.014135451411424249","3.014135451411424249","Activated","43","viper","43","3.014135451411424249",NA,NA,"5","Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=64); ARCHS4--Coexpression(rank=240); Enrichr--Queries(rank=269); GTEx--Coexpression(rank=417)","559","0.147400000000000003","ARCHS4 Coexpression,0.1474"
"TFAP4","3.013885987300247038","3.013885987300247038","3.013885987300247038","Activated","44","viper","44","3.013885987300247038",NA,NA,"4","ReMap--ChIP-seq(rank=140); GTEx--Coexpression(rank=800); Enrichr--Queries(rank=927); ARCHS4--Coexpression(rank=1260)","1296","0.471399999999999986","ReMap ChIP-seq,0.4714"
"FOXM1","-2.999109377086429884","-2.999109377086429884","2.999109377086429884","Repressed","45","viper","45","2.999109377086429884",NA,NA,"6","Literature--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=280); ARCHS4--Coexpression(rank=780); GTEx--Coexpression(rank=1028); Enrichr--Queries(rank=1339)","909","0.268299999999999983","Literature ChIP-seq,0.2683"
"BACH2","2.983516025854445086","2.983516025854445086","2.983516025854445086","Activated","46","viper","46","2.983516025854445086",NA,NA,"4","ReMap--ChIP-seq(rank=124); GTEx--Coexpression(rank=148); Enrichr--Queries(rank=265); ARCHS4--Coexpression(rank=573)","374","0.092100000000000001","GTEx Coexpression,0.0921"
"KLF9","2.937768180351305602","2.937768180351305602","2.937768180351305602","Activated","47","viper","47","2.937768180351305602",NA,NA,"4","ARCHS4--Coexpression(rank=40); Enrichr--Queries(rank=62); ReMap--ChIP-seq(rank=243); GTEx--Coexpression(rank=942)","100","0.024570000000000002","ARCHS4 Coexpression,0.02457"
"GATA3","2.925255474104683895","2.925255474104683895","2.925255474104683895","Activated","48","viper","48","2.925255474104683895",NA,NA,"6","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=24); GTEx--Coexpression(rank=45); Literature--ChIP-seq(rank=52); Enrichr--Queries(rank=358); ARCHS4--Coexpression(rank=894)","115","0.028000000000000001","GTEx Coexpression,0.028"
"RBPJ","2.897534995783776157","2.897534995783776157","2.897534995783776157","Activated","49","viper","49","2.897534995783776157",NA,NA,"5","Literature--ChIP-seq(rank=136); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=275); Enrichr--Queries(rank=713); ARCHS4--Coexpression(rank=1524)","633","0.171100000000000002","GTEx Coexpression,0.1711"
"RELB","2.893190420072806912","2.893190420072806912","2.893190420072806912","Activated","50","viper","50","2.893190420072806912",NA,NA,"4","ARCHS4--Coexpression(rank=29); Enrichr--Queries(rank=64); GTEx--Coexpression(rank=203); ReMap--ChIP-seq(rank=248)","71","0.017809999999999999","ARCHS4 Coexpression,0.01781"
"ARNT","2.828756313626549890","2.828756313626549890","2.828756313626549890","Activated","51","viper","51","2.828756313626549890",NA,NA,"5","Literature--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=206); ARCHS4--Coexpression(rank=528); GTEx--Coexpression(rank=841); Enrichr--Queries(rank=1192)","1032","0.324299999999999922","ARCHS4 Coexpression,0.3243"
"TEAD4","2.827260240227154942","2.827260240227154942","2.827260240227154942","Activated","52","viper","52","2.827260240227154942",NA,NA,"6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=98); Enrichr--Queries(rank=662); GTEx--Coexpression(rank=717); ARCHS4--Coexpression(rank=861)","470","0.118599999999999997","ENCODE ChIP-seq,0.1186"
"GATA6","2.804963493721739365","2.804963493721739365","2.804963493721739365","Activated","53","viper","53","2.804963493721739365",NA,NA,"5","Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=37); Enrichr--Queries(rank=387); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=1607)","489","0.124600000000000002","ReMap ChIP-seq,0.1246"
"STAT5A","2.801427886258819111","2.801427886258819111","2.801427886258819111","Activated","54","viper","54","2.801427886258819111",NA,NA,"6","GTEx--Coexpression(rank=53); ARCHS4--Coexpression(rank=73); Literature--ChIP-seq(rank=75); ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=215)","135","0.032980000000000002","GTEx Coexpression,0.03298"
"PBX3","2.776463648683766827","2.776463648683766827","2.776463648683766827","Activated","55","viper","55","2.776463648683766827",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=198); Enrichr--Queries(rank=487); ARCHS4--Coexpression(rank=819); GTEx--Coexpression(rank=1239)","1078","0.346899999999999986","Enrichr Queries,0.3469"
"ZNF217","2.771391020810062500","2.771391020810062500","2.771391020810062500","Activated","56","viper","56","2.771391020810062500",NA,NA,"6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=473); GTEx--Coexpression(rank=831); ARCHS4--Coexpression(rank=950)","435","0.110200000000000006","ENCODE ChIP-seq,0.1102"
"RELA","2.744856047841516933","2.744856047841516933","2.744856047841516933","Activated","57","viper","57","2.744856047841516933",NA,NA,"6","Literature--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=105); Enrichr--Queries(rank=422); GTEx--Coexpression(rank=572); ARCHS4--Coexpression(rank=1169)","393","0.097559999999999994","Literature ChIP-seq,0.09756"
"NCOA2","2.723720392900879528","2.723720392900879528","2.723720392900879528","Activated","58","viper","58","2.723720392900879528",NA,NA,"4","ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=376); GTEx--Coexpression(rank=913); Enrichr--Queries(rank=1254)","730","0.202000000000000013","ReMap ChIP-seq,0.202"
"FOXJ2","2.718905365519421746","2.718905365519421746","2.718905365519421746","Activated","59","viper","59","2.718905365519421746",NA,NA,"4","ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=467); Enrichr--Queries(rank=577); GTEx--Coexpression(rank=966)","852","0.245799999999999991","ReMap ChIP-seq,0.2458"
"MAZ","-2.703498273178222444","-2.703498273178222444","2.703498273178222444","Repressed","60","viper","60","2.703498273178222444",NA,NA,"5","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=267); ARCHS4--Coexpression(rank=971); GTEx--Coexpression(rank=1367); Enrichr--Queries(rank=1374)","1063","0.339000000000000024","ENCODE ChIP-seq,0.339"
"GRHL2","2.683882932558225409","2.683882932558225409","2.683882932558225409","Activated","61","viper","61","2.683882932558225409",NA,NA,"5","ReMap--ChIP-seq(rank=23); GTEx--Coexpression(rank=33); Literature--ChIP-seq(rank=102); ARCHS4--Coexpression(rank=854); Enrichr--Queries(rank=1355)","83","0.020539999999999999","GTEx Coexpression,0.02054"
"HMBOX1","-2.675590676905356347","-2.675590676905356347","2.675590676905356347","Repressed","62","viper","62","2.675590676905356347",NA,NA,"4","ReMap--ChIP-seq(rank=152); GTEx--Coexpression(rank=362); ARCHS4--Coexpression(rank=458); Enrichr--Queries(rank=1037)","792","0.225300000000000000","GTEx Coexpression,0.2253"
"SP3","2.647575858965134366","2.647575858965134366","2.647575858965134366","Activated","63","viper","63","2.647575858965134366",NA,NA,"3","Enrichr--Queries(rank=1038); GTEx--Coexpression(rank=1150); ARCHS4--Coexpression(rank=1279)","1569","0.715600000000000014","GTEx Coexpression,0.7156"
"ELF1","2.643145934849965961","2.643145934849965961","2.643145934849965961","Activated","64","viper","64","2.643145934849965961",NA,NA,"5","ARCHS4--Coexpression(rank=63); ENCODE--ChIP-seq(rank=89); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=256); GTEx--Coexpression(rank=829)","160","0.038699999999999998","ARCHS4 Coexpression,0.0387"
"FOS","2.630112908872326738","2.630112908872326738","2.630112908872326738","Activated","65","viper","65","2.630112908872326738",NA,NA,"5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=41)","4","0.001245000000000000","GTEx Coexpression,0.001245"
"E2F3","-2.602047619479231688","-2.602047619479231688","2.602047619479231688","Repressed","66","viper","66","2.602047619479231688",NA,NA,"3","ARCHS4--Coexpression(rank=782); GTEx--Coexpression(rank=798); Enrichr--Queries(rank=1185)","1312","0.480300000000000005","ARCHS4 Coexpression,0.4803"
"ZBTB11","2.580329138950587797","2.580329138950587797","2.580329138950587797","Activated","67","viper","67","2.580329138950587797",NA,NA,"4","ReMap--ChIP-seq(rank=236); Enrichr--Queries(rank=743); GTEx--Coexpression(rank=822); ARCHS4--Coexpression(rank=1372)","1363","0.511499999999999955","GTEx Coexpression,0.5115"
"CREM","2.573596604535589361","2.573596604535589361","2.573596604535589361","Activated","68","viper","68","2.573596604535589361",NA,NA,"5","Enrichr--Queries(rank=32); ARCHS4--Coexpression(rank=36); Literature--ChIP-seq(rank=146); GTEx--Coexpression(rank=237); ReMap--ChIP-seq(rank=247)","91","0.022110000000000001","ARCHS4 Coexpression,0.02211"
"POU5F1","2.571556814457778728","2.571556814457778728","2.571556814457778728","Activated","69","viper","69","2.571556814457778728",NA,NA,"5","Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=314); ARCHS4--Coexpression(rank=943); Enrichr--Queries(rank=1032)","713","0.195399999999999990","GTEx Coexpression,0.1954"
"SMAD5","-2.551713861361531333","-2.551713861361531333","2.551713861361531333","Repressed","70","viper","70","2.551713861361531333",NA,NA,"4","ReMap--ChIP-seq(rank=153); ARCHS4--Coexpression(rank=305); GTEx--Coexpression(rank=350); Enrichr--Queries(rank=1186)","688","0.187299999999999994","ARCHS4 Coexpression,0.1873"
"FOXL2","2.527625847470317488","2.527625847470317488","2.527625847470317488","Activated","71","viper","71","2.527625847470317488",NA,NA,"3","Enrichr--Queries(rank=451); ARCHS4--Coexpression(rank=532); GTEx--Coexpression(rank=1496)","1023","0.321199999999999986","Enrichr Queries,0.3212"
"MYCN","-2.509171150368480596","-2.509171150368480596","2.509171150368480596","Repressed","72","viper","72","2.509171150368480596",NA,NA,"5","Literature--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=210); GTEx--Coexpression(rank=405); Enrichr--Queries(rank=826); ARCHS4--Coexpression(rank=1137)","870","0.252000000000000002","GTEx Coexpression,0.252"
"THAP11","2.499713152668499916","2.499713152668499916","2.499713152668499916","Activated","73","viper","73","2.499713152668499916",NA,NA,"5","ReMap--ChIP-seq(rank=82); Literature--ChIP-seq(rank=112); GTEx--Coexpression(rank=1092); Enrichr--Queries(rank=1300); ARCHS4--Coexpression(rank=1593)","928","0.276100000000000012","ReMap ChIP-seq,0.2761"
"ZNF384","2.492445288819187699","2.492445288819187699","2.492445288819187699","Activated","74","viper","74","2.492445288819187699",NA,NA,"5","ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=97); Enrichr--Queries(rank=1084); GTEx--Coexpression(rank=1323); ARCHS4--Coexpression(rank=1432)","1035","0.326600000000000001","ReMap ChIP-seq,0.3266"
"AHR","2.450549096640546765","2.450549096640546765","2.450549096640546765","Activated","75","viper","75","2.450549096640546765",NA,NA,"5","Literature--ChIP-seq(rank=51); Enrichr--Queries(rank=96); ReMap--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=207); GTEx--Coexpression(rank=1002)","281","0.068379999999999996","Enrichr Queries,0.06838"
"ESR2","2.448640501962156435","2.448640501962156435","2.448640501962156435","Activated","76","viper","76","2.448640501962156435",NA,NA,"5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=258); Enrichr--Queries(rank=684); GTEx--Coexpression(rank=1387)","535","0.140199999999999991","Literature ChIP-seq,0.1402"
"EPAS1","2.431495795840350915","2.431495795840350915","2.431495795840350915","Activated","77","viper","77","2.431495795840350915",NA,NA,"4","ReMap--ChIP-seq(rank=129); ARCHS4--Coexpression(rank=154); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=490)","383","0.094589999999999994","ARCHS4 Coexpression,0.09459"
"FOSL1","2.400662338708027477","2.400662338708027477","2.400662338708027477","Activated","78","viper","78","2.400662338708027477",NA,NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=102); ARCHS4--Coexpression(rank=135); Enrichr--Queries(rank=143)","66","0.016840000000000001","ReMap ChIP-seq,0.01684"
