Pathway,STK33 UP,STK33 NOMO UP,HINATA NFKB IMMU INF,STK33 SKM UP,HOXA9 DN.V1 UP,RPS14 DN.V1 UP,TBK1.DF UP,BCAT BILD ET AL DN,GCNP SHH UP EARLY.V1 UP,TGFB UP.V1 UP,CORDENONSI YAP CONSERVED SIGNATURE,ESC V6.5 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,CAMP UP.V1 DN,CAHOY OLIGODENDROCUTIC,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,BMI1 DN.V1 UP,GCNP SHH UP LATE.V1 DN,DCA UP.V1 DN,PRC2 EED DN.V1 DN,PDGF ERK DN.V1 DN,CSR EARLY UP.V1 DN,E2F1 UP.V1 DN,PGF UP.V1 UP,RAF UP.V1 UP,EGFR UP.V1 UP,PDGF UP.V1 UP,RELA DN.V1 UP,NRL DN.V1 UP,MTOR UP.N4.V1 DN,JAK2 DN.V1 DN,YAP1 UP
CAMP UP.V1 DN,0.035175879396984924,0.035175879396984924,0.010050251256281407,0.035175879396984924,0.02512562814070352,0.035175879396984924,0.04020100502512563,0.005025125628140704,0.005025125628140704,0.035175879396984924,0.020100502512562814,0.010050251256281407,0.02512562814070352,1.0,0.02512562814070352,0.020100502512562814,0.020100502512562814,0.005025125628140704,0.010050251256281407,0.01507537688442211,0.02512562814070352,0.005025125628140704,0.005025125628140704,0.03015075376884422,0.005025125628140704,0.01507537688442211,0.02512562814070352,0.02512562814070352,0.03015075376884422,0.01507537688442211,0.005025125628140704,0.01507537688442211,0.0
CAHOY OLIGODENDROCUTIC,0.01,0.01,0.0,0.01,0.03,0.02,0.03,0.0,0.02,0.02,0.03,0.01,0.01,0.05,1.0,0.0,0.01,0.01,0.0,0.0,0.02,0.01,0.0,0.04,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0
BMI1 DN MEL18 DN.V1 UP,0.07586206896551724,0.07586206896551724,0.006896551724137931,0.05517241379310345,0.05517241379310345,0.06896551724137931,0.08275862068965517,0.013793103448275862,0.013793103448275862,0.09655172413793103,0.006896551724137931,0.041379310344827586,0.027586206896551724,0.027586206896551724,0.0,1.0,0.6206896551724138,0.5793103448275863,0.04827586206896552,0.013793103448275862,0.027586206896551724,0.027586206896551724,0.027586206896551724,0.06206896551724138,0.006896551724137931,0.05517241379310345,0.12413793103448276,0.041379310344827586,0.041379310344827586,0.027586206896551724,0.0,0.006896551724137931,0.0
MEL18 DN.V1 UP,0.06382978723404255,0.07092198581560284,0.0070921985815602835,0.04964539007092199,0.03546099290780142,0.06382978723404255,0.07092198581560284,0.0070921985815602835,0.014184397163120567,0.05673758865248227,0.0070921985815602835,0.028368794326241134,0.0070921985815602835,0.028368794326241134,0.0070921985815602835,0.6382978723404256,1.0,0.6312056737588653,0.05673758865248227,0.014184397163120567,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.05673758865248227,0.0070921985815602835,0.03546099290780142,0.12056737588652482,0.0425531914893617,0.03546099290780142,0.02127659574468085,0.0,0.0070921985815602835,0.0
BMI1 DN.V1 UP,0.05442176870748299,0.061224489795918366,0.0,0.04081632653061224,0.027210884353741496,0.07482993197278912,0.047619047619047616,0.006802721088435374,0.006802721088435374,0.06802721088435375,0.006802721088435374,0.05442176870748299,0.027210884353741496,0.006802721088435374,0.006802721088435374,0.5714285714285714,0.6054421768707483,1.0,0.061224489795918366,0.013605442176870748,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.047619047619047616,0.0,0.061224489795918366,0.10884353741496598,0.027210884353741496,0.02040816326530612,0.027210884353741496,0.0,0.013605442176870748,0.0
GCNP SHH UP LATE.V1 DN,0.016853932584269662,0.016853932584269662,0.0,0.0056179775280898875,0.011235955056179775,0.02247191011235955,0.033707865168539325,0.0,0.0449438202247191,0.0056179775280898875,0.0056179775280898875,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.0,0.03932584269662921,0.0449438202247191,0.05056179775280899,1.0,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.028089887640449437,0.0056179775280898875,0.016853932584269662,0.02247191011235955,0.0056179775280898875,0.02247191011235955,0.0,0.011235955056179775,0.0,0.0056179775280898875
DCA UP.V1 DN,0.02702702702702703,0.02702702702702703,0.0,0.043243243243243246,0.032432432432432434,0.010810810810810811,0.021621621621621623,0.010810810810810811,0.0,0.010810810810810811,0.0,0.0,0.005405405405405406,0.016216216216216217,0.0,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.005405405405405406,1.0,0.021621621621621623,0.016216216216216217,0.005405405405405406,0.010810810810810811,0.0,0.0,0.0,0.016216216216216217,0.02702702702702703,0.010810810810810811,0.010810810810810811,0.043243243243243246,0.0
PRC2 EED DN.V1 DN,0.015544041450777202,0.02072538860103627,0.0,0.015544041450777202,0.010362694300518135,0.010362694300518135,0.02072538860103627,0.0051813471502590676,0.02072538860103627,0.015544041450777202,0.0,0.015544041450777202,0.02072538860103627,0.025906735751295335,0.010362694300518135,0.02072538860103627,0.031088082901554404,0.031088082901554404,0.0051813471502590676,0.02072538860103627,1.0,0.0,0.015544041450777202,0.010362694300518135,0.0,0.02072538860103627,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.010362694300518135,0.0,0.0051813471502590676,0.0051813471502590676
PDGF ERK DN.V1 DN,0.08053691275167785,0.053691275167785234,0.006711409395973154,0.053691275167785234,0.006711409395973154,0.013422818791946308,0.03355704697986577,0.0,0.013422818791946308,0.053691275167785234,0.006711409395973154,0.020134228187919462,0.04697986577181208,0.006711409395973154,0.006711409395973154,0.026845637583892617,0.020134228187919462,0.020134228187919462,0.006711409395973154,0.020134228187919462,0.0,1.0,0.040268456375838924,0.03355704697986577,0.040268456375838924,0.013422818791946308,0.03355704697986577,0.020134228187919462,0.040268456375838924,0.026845637583892617,0.026845637583892617,0.006711409395973154,0.0
CSR EARLY UP.V1 DN,0.03968253968253968,0.023809523809523808,0.0,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.015873015873015872,0.0,0.0,0.0,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.0,0.031746031746031744,0.023809523809523808,0.023809523809523808,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.047619047619047616,1.0,0.047619047619047616,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.0,0.015873015873015872,0.007936507936507936,0.031746031746031744,0.023809523809523808,0.0
E2F1 UP.V1 DN,0.0427807486631016,0.058823529411764705,0.0053475935828877,0.053475935828877004,0.03208556149732621,0.03208556149732621,0.0374331550802139,0.0,0.0213903743315508,0.016042780748663103,0.0213903743315508,0.0481283422459893,0.0427807486631016,0.03208556149732621,0.0213903743315508,0.0481283422459893,0.0427807486631016,0.0374331550802139,0.026737967914438502,0.0106951871657754,0.0106951871657754,0.026737967914438502,0.03208556149732621,1.0,0.0427807486631016,0.0213903743315508,0.0481283422459893,0.0106951871657754,0.026737967914438502,0.0106951871657754,0.0213903743315508,0.0053475935828877,0.0
PGF UP.V1 UP,0.06315789473684211,0.05263157894736842,0.0,0.05789473684210526,0.031578947368421054,0.015789473684210527,0.031578947368421054,0.010526315789473684,0.021052631578947368,0.005263157894736842,0.0,0.0,0.005263157894736842,0.005263157894736842,0.0,0.005263157894736842,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0.031578947368421054,0.005263157894736842,0.042105263157894736,1.0,0.02631578947368421,0.03684210526315789,0.021052631578947368,0.005263157894736842,0.0,0.015789473684210527,0.010526315789473684,0.005263157894736842
RAF UP.V1 UP,0.046632124352331605,0.05181347150259067,0.0,0.04145077720207254,0.04145077720207254,0.05181347150259067,0.07253886010362694,0.0051813471502590676,0.0,0.05181347150259067,0.010362694300518135,0.031088082901554404,0.010362694300518135,0.015544041450777202,0.0051813471502590676,0.04145077720207254,0.025906735751295335,0.046632124352331605,0.015544041450777202,0.0,0.02072538860103627,0.010362694300518135,0.010362694300518135,0.02072538860103627,0.025906735751295335,1.0,0.23316062176165803,0.02072538860103627,0.010362694300518135,0.0051813471502590676,0.031088082901554404,0.015544041450777202,0.0051813471502590676
EGFR UP.V1 UP,0.11458333333333333,0.10416666666666667,0.010416666666666666,0.11458333333333333,0.046875,0.03125,0.08854166666666667,0.015625,0.005208333333333333,0.08854166666666667,0.020833333333333332,0.052083333333333336,0.0625,0.026041666666666668,0.005208333333333333,0.09375,0.08854166666666667,0.08333333333333333,0.020833333333333332,0.0,0.005208333333333333,0.026041666666666668,0.005208333333333333,0.046875,0.036458333333333336,0.234375,1.0,0.03125,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.0,0.005208333333333333
PDGF UP.V1 UP,0.07534246575342465,0.0547945205479452,0.0,0.04794520547945205,0.04794520547945205,0.0273972602739726,0.04794520547945205,0.0,0.0273972602739726,0.03424657534246575,0.0,0.0136986301369863,0.0273972602739726,0.03424657534246575,0.0,0.0410958904109589,0.0410958904109589,0.0273972602739726,0.00684931506849315,0.02054794520547945,0.00684931506849315,0.02054794520547945,0.0,0.0136986301369863,0.0273972602739726,0.0273972602739726,0.0410958904109589,1.0,0.04794520547945205,0.02054794520547945,0.0136986301369863,0.00684931506849315,0.00684931506849315
RELA DN.V1 UP,0.09395973154362416,0.08053691275167785,0.006711409395973154,0.06711409395973154,0.03355704697986577,0.040268456375838924,0.013422818791946308,0.006711409395973154,0.006711409395973154,0.06040268456375839,0.013422818791946308,0.04697986577181208,0.053691275167785234,0.040268456375838924,0.0,0.040268456375838924,0.03355704697986577,0.020134228187919462,0.026845637583892617,0.03355704697986577,0.006711409395973154,0.040268456375838924,0.013422818791946308,0.03355704697986577,0.006711409395973154,0.013422818791946308,0.026845637583892617,0.04697986577181208,1.0,0.026845637583892617,0.006711409395973154,0.020134228187919462,0.006711409395973154
NRL DN.V1 UP,0.0072992700729927005,0.021897810218978103,0.0072992700729927005,0.014598540145985401,0.029197080291970802,0.014598540145985401,0.051094890510948905,0.0072992700729927005,0.014598540145985401,0.014598540145985401,0.0072992700729927005,0.014598540145985401,0.014598540145985401,0.021897810218978103,0.0072992700729927005,0.029197080291970802,0.021897810218978103,0.029197080291970802,0.0,0.014598540145985401,0.014598540145985401,0.029197080291970802,0.0072992700729927005,0.014598540145985401,0.0,0.0072992700729927005,0.014598540145985401,0.021897810218978103,0.029197080291970802,1.0,0.021897810218978103,0.0072992700729927005,0.0
MTOR UP.N4.V1 DN,0.043478260869565216,0.03804347826086957,0.0,0.04891304347826087,0.04891304347826087,0.016304347826086956,0.03260869565217391,0.005434782608695652,0.02717391304347826,0.016304347826086956,0.0,0.010869565217391304,0.016304347826086956,0.005434782608695652,0.005434782608695652,0.0,0.0,0.0,0.010869565217391304,0.010869565217391304,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.03260869565217391,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.016304347826086956,1.0,0.05434782608695652,0.0
JAK2 DN.V1 DN,0.006802721088435374,0.02040816326530612,0.0,0.013605442176870748,0.0,0.013605442176870748,0.027210884353741496,0.0,0.027210884353741496,0.013605442176870748,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.006802721088435374,0.006802721088435374,0.013605442176870748,0.0,0.05442176870748299,0.006802721088435374,0.006802721088435374,0.02040816326530612,0.006802721088435374,0.013605442176870748,0.02040816326530612,0.0,0.006802721088435374,0.02040816326530612,0.006802721088435374,0.06802721088435375,1.0,0.0
YAP1 UP,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,1.0
