Pathway,"ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA",OXIDATIVE PHOSPHORYLATION,"MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",NONALCOHOLIC FATTY LIVER DISEASE,MITOCHONDRIAL COMPLEX III ASSEMBLY,16P122 COPY NUMBER VARIATION SYNDROME 520KB,MITOCHONDRIAL COMPLEX IV ASSEMBLY,5Q35 COPY NUMBER VARIATION,MRNA PROCESSING,MECP2 AND ASSOCIATED RETT SYNDROME,CILIOPATHIES,JOUBERT SYNDROME,"GENES RELATED TO PRIMARY CILIUM DEVELOPMENT
BASED ON CRISPR",RETINOBLASTOMA GENE IN CANCER,CELL CYCLE,G1 TO S CELL CYCLE CONTROL,DNA REPAIR PATHWAYS FULL NETWORK,FANCONI ANEMIA,DNA IRDAMAGE AND CELLULAR RESPONSE VIA ATR,CYTOPLASMIC RIBOSOMAL PROTEINS,ESTROGEN METABOLISM WP697,GLUCURONIDATION,MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS,CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY,PREGNANE X RECEPTOR PATHWAY,CODEINE AND MORPHINE METABOLISM,DRUG INDUCTION OF BILE ACID PATHWAY,PROXIMAL TUBULE TRANSPORT,ESTROGEN METABOLISM WP5276,"CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",FERROPTOSIS,MIR5093P ALTERATION OF YAP1ECM AXIS,HIPPOYAP SIGNALING,PLEURAL MESOTHELIOMA,HIPPOMERLIN SIGNALING DYSREGULATION,NANOMATERIAL INDUCED APOPTOSIS,NRP1TRIGGERED SIGNALING IN PANCREATIC CANCER,TGFB SMAD SIGNALING,PANCREATIC CANCER SUBTYPES,OSTEOBLAST SIGNALING
CILIOPATHIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.33695652173913043,0.005434782608695652,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOUBERT SYNDROME,0.0,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,0.0,0.013157894736842105,0.6052631578947368,1.0,0.3684210526315789,0.0,0.013157894736842105,0.013157894736842105,0.06578947368421052,0.039473684210526314,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0
"GENES RELATED TO PRIMARY CILIUM DEVELOPMENT
BASED ON CRISPR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6019417475728155,0.27184466019417475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETINOBLASTOMA GENE IN CANCER,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.0,0.03333333333333333,0.022222222222222223,0.044444444444444446,0.011111111111111112,0.0,0.0,1.0,0.45555555555555555,0.3888888888888889,0.16666666666666666,0.011111111111111112,0.14444444444444443,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.15555555555555556,0.022222222222222223,0.0,0.044444444444444446,0.0,0.0,0.0
CELL CYCLE,0.0,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.016666666666666666,0.008333333333333333,0.025,0.0,0.008333333333333333,0.0,0.3416666666666667,1.0,0.39166666666666666,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.15833333333333333,0.025,0.0,0.075,0.03333333333333333,0.0,0.0
G1 TO S CELL CYCLE CONTROL,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.015625,0.0,0.046875,0.0,0.015625,0.0,0.546875,0.734375,1.0,0.15625,0.03125,0.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.234375,0.03125,0.0,0.0625,0.0,0.0,0.0
DNA REPAIR PATHWAYS FULL NETWORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.06666666666666667,0.08333333333333333,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.025,0.0,0.0,0.0,0.0,0.0
FANCONI ANEMIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0425531914893617,0.0,0.06382978723404255,0.0,0.02127659574468085,0.0851063829787234,0.0425531914893617,0.6382978723404256,1.0,0.3404255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.0
DNA IRDAMAGE AND CELLULAR RESPONSE VIA ATR,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.07317073170731707,0.024390243902439025,0.036585365853658534,0.012195121951219513,0.06097560975609756,0.0,0.15853658536585366,0.1951219512195122,0.13414634146341464,0.36585365853658536,0.1951219512195122,1.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.10975609756097561,0.012195121951219513,0.0,0.012195121951219513,0.0,0.0,0.0
CYTOPLASMIC RIBOSOMAL PROTEINS,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056818181818181816,0.0,0.0,0.0,0.0,0.0,0.0
ESTROGEN METABOLISM WP697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2777777777777778,0.0,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.05555555555555555,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUCURONIDATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,1.0,0.0,0.15384615384615385,0.15384615384615385,0.2692307692307692,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.16279069767441862,0.09302325581395349,0.0,0.046511627906976744,0.0,0.0,0.0
CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.06451612903225806,0.0,0.16129032258064516,0.12903225806451613,0.0,1.0,0.7096774193548387,0.22580645161290322,0.1935483870967742,0.06451612903225806,0.12903225806451613,0.03225806451612903,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0
PREGNANE X RECEPTOR PATHWAY,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.6875,1.0,0.25,0.25,0.09375,0.15625,0.0625,0.0,0.0,0.0,0.09375,0.0,0.0,0.03125,0.0,0.03125,0.0
CODEINE AND MORPHINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.5,0.0,0.5,0.5714285714285714,1.0,0.35714285714285715,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRUG INDUCTION OF BILE ACID PATHWAY,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.35294117647058826,0.47058823529411764,0.29411764705882354,1.0,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROXIMAL TUBULE TRANSPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.05263157894736842,0.03508771929824561,0.05263157894736842,1.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.017543859649122806,0.0
ESTROGEN METABOLISM WP5276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.041666666666666664,0.0,1.0,0.375,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
"CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",0.0,0.0,0.0,0.036036036036036036,0.0,0.02702702702702703,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.0,0.009009009009009009,0.018018018018018018,0.009009009009009009,0.036036036036036036,0.0,0.08108108108108109,1.0,0.036036036036036036,0.0,0.0,0.018018018018018018,0.0,0.0,0.0,0.0,0.009009009009009009,0.0
FERROPTOSIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.015625,0.0625,1.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
MIR5093P ALTERATION OF YAP1ECM AXIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2777777777777778,0.3888888888888889,0.2777777777777778,0.0,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555
HIPPOYAP SIGNALING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,1.0,1.0,0.5909090909090909,0.0,0.0,0.045454545454545456,0.0,0.0
PLEURAL MESOTHELIOMA,0.0,0.0,0.0,0.07289293849658314,0.0,0.04328018223234624,0.0,0.03644646924829157,0.0,0.03644646924829157,0.0,0.011389521640091117,0.0,0.03189066059225513,0.04328018223234624,0.03416856492027335,0.009111617312072893,0.011389521640091117,0.02050113895216401,0.011389521640091117,0.0,0.0,0.015945330296127564,0.00683371298405467,0.00683371298405467,0.0,0.0,0.004555808656036446,0.0,0.004555808656036446,0.004555808656036446,0.015945330296127564,0.05011389521640091,1.0,0.1958997722095672,0.009111617312072893,0.05239179954441914,0.00683371298405467,0.00683371298405467,0.01366742596810934
HIPPOMERLIN SIGNALING DYSREGULATION,0.0,0.0,0.0,0.008264462809917356,0.0,0.008264462809917356,0.0,0.024793388429752067,0.0,0.008264462809917356,0.0,0.0,0.0,0.01652892561983471,0.024793388429752067,0.01652892561983471,0.024793388429752067,0.008264462809917356,0.008264462809917356,0.0,0.0,0.0,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04132231404958678,0.10743801652892562,0.7107438016528925,1.0,0.0,0.05785123966942149,0.01652892561983471,0.008264462809917356,0.03305785123966942
NANOMATERIAL INDUCED APOPTOSIS,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0
NRP1TRIGGERED SIGNALING IN PANCREATIC CANCER,0.0,0.0,0.0,0.12962962962962962,0.0,0.09259259259259259,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.07407407407407407,0.16666666666666666,0.07407407407407407,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.42592592592592593,0.12962962962962962,0.0,1.0,0.12962962962962962,0.0,0.018518518518518517
TGFB SMAD SIGNALING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.0,0.5833333333333334,1.0,0.0,0.0
PANCREATIC CANCER SUBTYPES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0625,0.020833333333333332,0.0,0.0,0.0,1.0,0.0
OSTEOBLAST SIGNALING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.42857142857142855,0.2857142857142857,0.0,0.07142857142857142,0.0,0.0,1.0
