Pathway,RIBOSOME,PARKINSONS DISEASE,HUNTINGTONS DISEASE,OXIDATIVE PHOSPHORYLATION,ALZHEIMERS DISEASE,FOCAL ADHESION,ECM RECEPTOR INTERACTION,SMALL CELL LUNG CANCER,MAPK SIGNALING PATHWAY,COLORECTAL CANCER,PANCREATIC CANCER,CHEMOKINE SIGNALING PATHWAY,REGULATION OF ACTIN CYTOSKELETON,ADHERENS JUNCTION,PATHWAYS IN CANCER,BASAL CELL CARCINOMA,WNT SIGNALING PATHWAY,MELANOGENESIS,GLUTATHIONE METABOLISM,CYSTEINE AND METHIONINE METABOLISM,JAK STAT SIGNALING PATHWAY,CYTOKINE CYTOKINE RECEPTOR INTERACTION,HEMATOPOIETIC CELL LINEAGE,SPLICEOSOME,RNA DEGRADATION,AMINOACYL TRNA BIOSYNTHESIS,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,ENDOCYTOSIS,PYRUVATE METABOLISM,CITRATE CYCLE TCA CYCLE,STEROID BIOSYNTHESIS,PURINE METABOLISM,PYRIMIDINE METABOLISM,DNA REPLICATION,BASE EXCISION REPAIR,HYPERTROPHIC CARDIOMYOPATHY HCM,DILATED CARDIOMYOPATHY,CARDIAC MUSCLE CONTRACTION,TERPENOID BACKBONE BIOSYNTHESIS,VALINE LEUCINE AND ISOLEUCINE DEGRADATION
REGULATION OF ACTIN CYTOSKELETON,0.0,0.0,0.0,0.0,0.009389671361502348,0.431924882629108,0.09859154929577464,0.07511737089201878,0.27230046948356806,0.09859154929577464,0.10328638497652583,0.18309859154929578,1.0,0.10328638497652583,0.3192488262910798,0.009389671361502348,0.03755868544600939,0.03755868544600939,0.0,0.0,0.046948356807511735,0.03286384976525822,0.046948356807511735,0.0,0.0,0.0,0.07042253521126761,0.07042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107981220657277,0.107981220657277,0.009389671361502348,0.0,0.0
ADHERENS JUNCTION,0.0,0.0,0.0273972602739726,0.0,0.0273972602739726,0.2876712328767123,0.0,0.0,0.1643835616438356,0.2191780821917808,0.1780821917808219,0.1232876712328767,0.3013698630136986,1.0,0.3835616438356164,0.0684931506849315,0.2602739726027397,0.1232876712328767,0.0,0.0,0.0410958904109589,0.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0,0.0,0.0
PATHWAYS IN CANCER,0.0,0.009230769230769232,0.033846153846153845,0.0,0.033846153846153845,0.2553846153846154,0.07076923076923076,0.2523076923076923,0.2523076923076923,0.19076923076923077,0.2123076923076923,0.12615384615384614,0.20923076923076922,0.08615384615384615,1.0,0.16923076923076924,0.2,0.16615384615384615,0.003076923076923077,0.0,0.10461538461538461,0.08923076923076922,0.036923076923076927,0.0,0.0,0.0,0.043076923076923075,0.05846153846153846,0.0,0.003076923076923077,0.0,0.0,0.0,0.0,0.0,0.04,0.036923076923076927,0.003076923076923077,0.0,0.0
BASAL CELL CARCINOMA,0.0,0.0,0.01818181818181818,0.0,0.01818181818181818,0.03636363636363636,0.0,0.01818181818181818,0.01818181818181818,0.2,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.09090909090909091,1.0,1.0,0.7818181818181819,0.6909090909090909,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNT SIGNALING PATHWAY,0.0,0.0,0.046357615894039736,0.0,0.08609271523178808,0.11920529801324503,0.0,0.019867549668874173,0.17880794701986755,0.15894039735099338,0.0728476821192053,0.09933774834437085,0.052980132450331126,0.12582781456953643,0.4304635761589404,0.2847682119205298,1.0,0.36423841059602646,0.0,0.0,0.039735099337748346,0.0,0.0,0.0,0.0,0.0,0.046357615894039736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026490066225165563,0.0,0.0,0.0
MELANOGENESIS,0.0,0.0,0.12871287128712872,0.0,0.13861386138613863,0.09900990099009901,0.0,0.0,0.1485148514851485,0.10891089108910891,0.04950495049504951,0.2871287128712871,0.07920792079207921,0.0891089108910891,0.5346534653465347,0.37623762376237624,0.5445544554455446,1.0,0.0,0.0,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.0,0.0,0.0,0.12871287128712872,0.019801980198019802,0.0,0.0,0.0,0.0891089108910891,0.0,0.0,0.0,0.0,0.13861386138613863,0.0,0.0,0.0
GLUTATHIONE METABOLISM,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYSTEINE AND METHIONINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
JAK STAT SIGNALING PATHWAY,0.0,0.0,0.012903225806451613,0.0,0.0,0.10967741935483871,0.0,0.11612903225806452,0.04516129032258064,0.08387096774193549,0.1032258064516129,0.12903225806451613,0.06451612903225806,0.01935483870967742,0.21935483870967742,0.0,0.03870967741935484,0.012903225806451613,0.0,0.0,1.0,0.6129032258064516,0.13548387096774195,0.0,0.0,0.0,0.05161290322580645,0.05161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0
CYTOKINE CYTOKINE RECEPTOR INTERACTION,0.0,0.0,0.0,0.0,0.015151515151515152,0.06060606060606061,0.0,0.0,0.07196969696969698,0.01893939393939394,0.041666666666666664,0.24242424242424243,0.026515151515151516,0.015151515151515152,0.10984848484848485,0.003787878787878788,0.0,0.007575757575757576,0.0,0.0,0.35984848484848486,1.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.056818181818181816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01893939393939394,0.015151515151515152,0.0,0.0,0.0
HEMATOPOIETIC CELL LINEAGE,0.0,0.0,0.0,0.0,0.034482758620689655,0.09195402298850575,0.16091954022988506,0.04597701149425287,0.06896551724137931,0.0,0.0,0.0,0.11494252873563218,0.0,0.13793103448275862,0.0,0.0,0.022988505747126436,0.011494252873563218,0.0,0.2413793103448276,0.367816091954023,1.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11494252873563218,0.10344827586206896,0.0,0.0,0.0
SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05511811023622047,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNA DEGRADATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMINOACYL TRNA BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,0.0,0.0,0.06578947368421052,0.0,0.17105263157894737,0.17105263157894737,0.0,0.11842105263157894,0.039473684210526314,0.10526315789473684,0.10526315789473684,0.17105263157894737,0.19736842105263158,0.0,0.18421052631578946,0.0,0.09210526315789473,0.17105263157894737,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,1.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENDOCYTOSIS,0.0,0.0,0.049723756906077346,0.0,0.0,0.06077348066298342,0.0,0.0055248618784530384,0.09944751381215469,0.0,0.022099447513812154,0.09392265193370165,0.08287292817679558,0.03314917127071823,0.10497237569060773,0.0,0.0,0.011049723756906077,0.0,0.0,0.04419889502762431,0.08287292817679558,0.022099447513812154,0.03314917127071823,0.0,0.0,0.027624309392265192,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0
PYRUVATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2
CITRATE CYCLE TCA CYCLE,0.0,0.15625,0.15625,0.15625,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125
STEROID BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PURINE METABOLISM,0.0,0.0,0.0880503144654088,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.012578616352201259,0.0,0.0,1.0,0.44654088050314467,0.07547169811320754,0.050314465408805034,0.0,0.05660377358490566,0.0,0.0,0.0
PYRIMIDINE METABOLISM,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.7244897959183674,1.0,0.12244897959183673,0.08163265306122448,0.0,0.0,0.0,0.0,0.0
DNA REPLICATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3055555555555556,0.0,0.0,0.0,0.0,0.0
BASE EXCISION REPAIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.22857142857142856,0.3142857142857143,1.0,0.0,0.0,0.0,0.0,0.0
HYPERTROPHIC CARDIOMYOPATHY HCM,0.0,0.0,0.0,0.0,0.07228915662650602,0.30120481927710846,0.26506024096385544,0.08433734939759036,0.2891566265060241,0.03614457831325301,0.03614457831325301,0.0,0.27710843373493976,0.024096385542168676,0.1566265060240964,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.060240963855421686,0.12048192771084337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.891566265060241,0.42168674698795183,0.0,0.0
DILATED CARDIOMYOPATHY,0.0,0.0,0.0,0.0,0.06666666666666667,0.2777777777777778,0.24444444444444444,0.07777777777777778,0.3111111111111111,0.03333333333333333,0.03333333333333333,0.14444444444444443,0.25555555555555554,0.022222222222222223,0.13333333333333333,0.0,0.044444444444444446,0.15555555555555556,0.0,0.0,0.0,0.044444444444444446,0.1,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8222222222222222,1.0,0.3888888888888889,0.0,0.0
CARDIAC MUSCLE CONTRACTION,0.0,0.4177215189873418,0.4177215189873418,0.4177215189873418,0.4810126582278481,0.012658227848101266,0.0,0.0,0.25316455696202533,0.0,0.0,0.0,0.02531645569620253,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,1.0,0.0,0.0
TERPENOID BACKBONE BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26666666666666666
VALINE LEUCINE AND ISOLEUCINE DEGRADATION,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0
