"ID","Description","NES","pvalue","qvalue","size","leadingEdge","var_name"
"TGF-beta signaling","TGF-beta signaling","1.2169340975974352","0.2106430155210642918284236202","0.380777758826539303171898609","19","LTBP2,CTNNB1,NCOR2,THBS1,ENG","APC (Mutation, COAD)"
"Apical junction","Apical junction","1.0902248282334999","0.2718204488778054872533118669","0.456270039187744946840297189","102","VCAN,FBN1,MYH10,CDH11,THY1,TGFBI,MAP3K20,NEXN,COL16A1,PLCG1,VAV2,SGCE,CNN2,MAPK13,CD99,MYL9,ICAM2,RSU1,GTF2F1,PARVA,RRAS,EPB41L2,SORBS3","APC (Mutation, COAD)"
"Fatty acid metabolism","Fatty acid metabolism","-1.0375974942665116","0.3739424703891708889891276613","0.571965144230769273470116332","114","ADH1C,FABP2,ALDH1A1,GSTZ1,ME1,GLUL,REEP6,DLST,HMGCS1,CPOX,HMGCS2,UBE2L6,CA4,ACADVL,RDH11,FH,ETFDH,PSME1,ACADM,EPHX1,SDHA,CBR3,S100A10,SERINC1,MGLL,HSP90AA1,DLD,ECI1,ECHS1,HMGCL,ACADS","APC (Mutation, COAD)"
"DNA repair","DNA repair","-1.0409904436344526","0.3785594639865996757777111270","0.571965144230769273470116332","86","ELOA,CDA,DDB2,CMPK2,RRM2B,NT5C,MPC2,SDCBP,CANT1,COX17,VPS37B,DGUOK,TMED2,GMPR2,PCNA,RBX1,AAAS,RFC5,RFC4,RFC2,NT5C3A,EDF1,ADA,RFC3,RPA2","APC (Mutation, COAD)"
"Hypoxia","Hypoxia","-1.0314856807160542","0.3811129848229342087506665848","0.571965144230769273470116332","81","TPD52,SELENBP1,KDELR3,PFKP,NEDD4L,CA12,CP,HK2,EGFR,ISG20,XPNPEP1,SAP30,HSPA5,ALDOB,HEXA,HK1,GLRX,NDRG1,NAGK,GYS1,TPI1,ERO1A,PFKL,ANXA2","APC (Mutation, COAD)"
"Unfolded protein response","Unfolded protein response","1.0345978824073065","0.3894230769230769273470116332","0.571965144230769273470116332","76","LSM4,H2AX,NHP2,NPM1,SLC1A4,EXOSC5,WFS1,DKC1,SKIC3,RRP9,ALDH18A1,XPOT,DDX10,NOP56,ARFGAP1,EIF4A2,FUS","APC (Mutation, COAD)"
"Apical surface","Apical surface","-1.0446557782053167","0.4246323529411764607921497827","0.604779411764705843168599131","13","ATP8B1,LYN,ADAM10","APC (Mutation, COAD)"
"Xenobiotic metabolism","Xenobiotic metabolism","0.9635212620588103","0.5130890052356020802903913136","0.709270095472743999920339775","90","CYP27A1,DDAH2,FBLN1,FABP1,NFS1,PGRMC1,CYP2S1,AHCY,CES1,FAH,DDC,PDLIM5,CD36,MCCC2,ALDH2,ADH5,ECH1","APC (Mutation, COAD)"
"KRAS signaling up","KRAS signaling up","-0.9449512825853005","0.5668358714043992829800799882","0.742244782853919926601804491","54","TSPAN1,FUCA1,MMP9,SLPI,CTSS,PIGR,CFH,SPARCL1,ARG1,APOD,RABGAP1L,GLRX,BPGM,F13A1,ITGB2,ERO1A,DOCK2,TOR1AIP2","APC (Mutation, COAD)"
"Heme metabolism","Heme metabolism","-0.9466369589896092","0.5685279187817259272108572077","0.742244782853919926601804491","74","SELENBP1,ALDH1L1,FECH,CPOX,SDCBP,FN3K,NEK7,ENDOD1,C3,GCLM,BPGM,BSG,ALDH6A1,CTSB,PSMD9,USP15,BLVRB,GLRX5,HBD,XPO7,HDGF,GAPVD1,EPB42,TCEA1,FBXO7,BLVRA","APC (Mutation, COAD)"
"Mitotic spindle","Mitotic spindle","0.8951156244044928","0.7005076142131979599625424271","0.889833996432981111368576421","103","MYH10,STAU1,TOP2A,MAPRE1,FARP1,GSN,PDLIM5,BIN1,FLNA,SORBS2,PALLD,LRPPRC,STK38L,NCK2,EPB41L2,SYNPO,MARCKS","APC (Mutation, COAD)"
"Apoptosis","Apoptosis","-0.8395171675490477","0.7710843373493976304899888419","0.941438308526916012297647285","78","TIMP1,FAS,CASP7,CTH,RNASEL,GSR,GSTM1,F2,BCL10,ISG20,ANXA1,IL18,ERBB2,DAP,DPYD,PDCD4,TSPO,KRT18,HMGB2,LGALS3,CASP3,RETSAT,RHOT2,BAX,XIAP,ROCK1,ENO2,CDKN1B,TAP1","APC (Mutation, COAD)"
"UV response up","UV response up","-0.8179741947555030","0.8216666666666666563045851035","0.948789878987898904760811547","84","IGFBP2,C4BPB,RAB27A,SULT1A1,LYN,SLC25A4,APOM,DGAT1","APC (Mutation, COAD)"
"Reactive oxygen species pathway","Reactive oxygen species pathway","-0.7554565185831845","0.8345195729537366879924320529","0.948789878987898904760811547","32","PFKP,MBP,GSR,MPO,GLRX,GCLM","APC (Mutation, COAD)"
"Hedgehog signaling","Hedgehog signaling","0.7128398542339461","0.8562367864693446461998860286","0.948789878987898904760811547","12","THY1,CRMP1,PML,NRP1,NRP2,RASA1","APC (Mutation, COAD)"
"Adipogenesis","Adipogenesis","0.8371936217050333","0.8718592964824120050693068151","0.948789878987898904760811547","131","FABP4,LIPE,DHCR7,GPX3,MRPL15,NDUFAB1,FAH,PLIN2,LPCAT3,CD36,COQ9,MTCH2,YWHAG,ALDH2,ATP1B3,CAVIN1,ECH1,PTCD3,MDH2,AIFM1,MTARC2","APC (Mutation, COAD)"
