"var1_feature","var2_feature","var1","var2","r","p","p_adjusted","method","p_adjust_method","p_value","cancer_type"
"DDIT3 (RNAseq, COAD)","CEBPB (logCNA, COAD)","DDIT3 (RNAseq, COAD)","CEBPB (logCNA, COAD)","0.0311924007702665089","0.75326800052915121597","0.9470000807283640576","pearson","BH","0.75326800052915121597","COAD"
"DDIT3 (RNAseq, COAD)","DDIT3 (logCNA, COAD)","DDIT3 (RNAseq, COAD)","DDIT3 (logCNA, COAD)","0.1941091974872541648","0.04833284627765337821","0.1928687620708980921","pearson","BH","0.04833284627765337821","COAD"
"DDIT3 (RNAseq, COAD)","FOS (logCNA, COAD)","DDIT3 (RNAseq, COAD)","FOS (logCNA, COAD)","-0.0723714722996764981","0.46533820973061745807","0.6843208966626728174","pearson","BH","0.46533820973061745807","COAD"
"DDIT3 (RNAseq, COAD)","JUN (logCNA, COAD)","DDIT3 (RNAseq, COAD)","JUN (logCNA, COAD)","0.1748128404349365284","0.07591516946614743078","0.2372349045817107316","pearson","BH","0.07591516946614743078","COAD"
"FOS (RNAseq, COAD)","ATF3 (logCNA, COAD)","FOS (RNAseq, COAD)","ATF3 (logCNA, COAD)","-0.2315211975754492835","0.01804219636106271438","0.0902469352056366331","pearson","BH","0.01804219636106271438","COAD"
"FOS (RNAseq, COAD)","CEBPB (logCNA, COAD)","FOS (RNAseq, COAD)","CEBPB (logCNA, COAD)","-0.0929045180421196881","0.34823226894171477319","0.6218433373959192378","pearson","BH","0.34823226894171477319","COAD"
"FOS (RNAseq, COAD)","DDIT3 (logCNA, COAD)","FOS (RNAseq, COAD)","DDIT3 (logCNA, COAD)","-0.0134941626629645362","0.89185532083601215536","0.9470000807283640576","pearson","BH","0.89185532083601215536","COAD"
"FOS (RNAseq, COAD)","FOS (logCNA, COAD)","FOS (RNAseq, COAD)","FOS (logCNA, COAD)","0.1048992919129365514","0.28925166822799253108","0.6026076421416511897","pearson","BH","0.28925166822799253108","COAD"
"FOS (RNAseq, COAD)","JUN (logCNA, COAD)","FOS (RNAseq, COAD)","JUN (logCNA, COAD)","-0.1297069207553698256","0.18941204894751845211","0.4735301223687961025","pearson","BH","0.18941204894751845211","COAD"
"JUN (RNAseq, COAD)","ATF3 (logCNA, COAD)","JUN (RNAseq, COAD)","ATF3 (logCNA, COAD)","-0.2577586455848073221","0.00825012343105277317","0.0687510285921064529","pearson","BH","0.00825012343105277317","COAD"
"JUN (RNAseq, COAD)","CEBPB (logCNA, COAD)","JUN (RNAseq, COAD)","CEBPB (logCNA, COAD)","0.3989547226601879992","0.00002729508480384420","0.0003411885600480526","pearson","BH","0.00002729508480384420","COAD"
"JUN (RNAseq, COAD)","DDIT3 (logCNA, COAD)","JUN (RNAseq, COAD)","DDIT3 (logCNA, COAD)","-0.1159640720205154241","0.24108761269562442586","0.5479263924900555915","pearson","BH","0.24108761269562442586","COAD"
"JUN (RNAseq, COAD)","FOS (logCNA, COAD)","JUN (RNAseq, COAD)","FOS (logCNA, COAD)","-0.0425828912474572815","0.66777173186731797472","0.9274607387046082119","pearson","BH","0.66777173186731797472","COAD"
"JUN (RNAseq, COAD)","JUN (logCNA, COAD)","JUN (RNAseq, COAD)","JUN (logCNA, COAD)","-0.0007624849006857625","0.99387081462191373404","0.9938708146219137340","pearson","BH","0.99387081462191373404","COAD"
