"ID","Description","NES","pvalue","qvalue","size","leadingEdge"
"Cholesterol homeostasis","Cholesterol homeostasis","1.4889302081002287","0.0366126238391056360588216","0.13487096113364302474302","38","ECH1,HSD17B7,ALCAM,ETHE1,CD9,ACTG1,NSDHL,PDK3,MVK,LGALS3,S100A11,FDFT1,LSS,ACAT2"
"Bile acid metabolism","Bile acid metabolism","1.5192942832909881","0.0373047339305821110122530","0.13487096113364302474302","40","AMACR,HSD17B4,GNPAT,SULT1B1,LIPE,ACSL5,GSTK1,MLYCD,FDXR,ALDH9A1,EPHX2,SCP2,ABCD3,SLC35B2,ALDH1A1,PRDX5,IDH1,SLC29A1,CROT"
"Inflammatory response","Inflammatory response","-1.4831358436985911","0.0424391489231783630708961","0.14247428567067021987214","37","CYBB,ITGA5,NAMPT,MSR1,CD82,TAPBP,EIF2AK2,SLC4A4,NMI,ICAM1,P2RX4,LYN,BST2,IL18,CD55"
"Adipogenesis","Adipogenesis","1.3486635031318368","0.0505122868304898331448527","0.15827183206886813460201","131","ALDH2,ECH1,ETFB,FABP4,ECHS1,GHITM,MGST3,HADH,LPCAT3,GPX3,TST,SUCLG1,SQOR,MDH2,MTCH2,LIPE,AIFM1,DBT,CRAT,CS,AK2,MGLL,IMMT,ACAA2,COQ3,ESYT1,MRPL15,PTCD3,PDCD4,SAMM50,ACOX1,ACO2,EPHX2,SCP2,ACADS,HIBCH,ATP5PO"
"G2M checkpoint","G2M checkpoint","-1.3824406922769577","0.0546969591275729069557165","0.16067231743724541548346","86","MCM6,MCM3,MCM5,MCM2,SMC4,RPS6KA5,NASP,MKI67,SAP30,SMC2,H2AX,MAD2L1,TOP1,CDKN1B,CDK1,CDC27,TOP2A,LBR,NUP50,NUMA1,YTHDC1,SMC1A,DTYMK,DDX39A,LIG3,SYNCRIP"
"Oxidative phosphorylation","Oxidative phosphorylation","1.2481456203050214","0.0747663551401869103107956","0.20670698185816380187951","170","ATP1B1,SLC25A6,ETFA,ECH1,ETFB,OAT,HSD17B10,NNT,ECHS1,SLC25A5,PHB2,MPC1,SURF1,MGST3,VDAC1,OPA1,HADHA,SUCLA2,SLC25A3,ALDH6A1,OXA1L,SUCLG1,MDH2,VDAC2,ATP5F1E,ACAA1,HADHB,AIFM1,ISCU,ABCB7,TOMM70,MRPS12,CS,MTX2,ATP5F1D,IMMT,ACAA2,ACADVL,SLC25A20,MRPL15,LRPPRC,ATP5PF,ACO2,GLUD1,TIMM9,MAOB,TIMM10,TIMM13,ATP5PO,MRPL11,ACADSB,GOT2"
"Reactive oxygen species pathway","Reactive oxygen species pathway","-1.3842198702778512","0.0805785123966942101736421","0.20897528694033709606437","32","FTL,MPO,NDUFB4,MBP,NDUFA6,NDUFS2,LSP1,G6PD"
"Heme metabolism","Heme metabolism","1.2922165512123911","0.0844793713163064785565126","0.20897528694033709606437","74","SLC2A1,HEBP1,NNT,MGST3,ALDH6A1,HBD,DMTN,PGLS,H1-0,GLRX5,SNCA,BLVRB,SLC4A1,RNF123,SPTA1,SELENBP1,ADD1,ANK1,RAD23A,PRDX2,HDGF,SPTB"
"Spermatogenesis","Spermatogenesis","-1.3426425004370486","0.0907258064516129059118299","0.21320564516129034138281","25","NCAPH,ALOX15,RFC4,CSNK2A2,CDK1,HSPA4L,VDAC3,COIL"
"Glycolysis","Glycolysis","1.2158391686152812","0.1102514506769825958221176","0.23874583990190925697483","108","TPI1,TFF3,TGFBI,IGFBP3,SLC25A13,FAM162A,AK3,MIF,NSDHL,GLRX,MDH2,AKR1A1,PDK3,VCAN,ERO1A,PGK1,LHPP,PGLS,PKP2,GOT1,ALDH9A1,DCN,UGP2,DSC2,ARPP19,COG2,GOT2,GFPT1,B3GNT3,GNPDA1,GALE,GALK2,IDH1,HK2,ALDH7A1,CASP6"
"IL-2/STAT5 signaling","IL-2/STAT5 signaling","1.2875332072239409","0.1117533718689788097000459","0.23874583990190925697483","64","AMACR,IRF6,ABCB1,ALCAM,SYNGR2,CKAP4,CAPG,SERPINB6,PUS1,HOPX,HUWE1,AHCY,ANXA4,ITGA6,RHOB,DCPS,SWAP70,UMPS,HK2,FAH,PTRH2,SH3BGRL2,ECM1,SLC1A5"
"IL-6/JAK2/STAT3 signaling","IL-6/JAK2/STAT3 signaling","-1.3297591614978863","0.1189516129032258118236598","0.24307503506311364804837","20","STAT1,STAT3,FAS,IRF9,PLA2G2A,CD38,PTPN1,CBL"
"KRAS signaling up","KRAS signaling up","1.2131897537032612","0.1754385964912280604366401","0.34356725146198829889954","54","HKDC1,ALDH1A3,PIGR,ABCB1,USH1C,IGFBP3,GLRX,GALNT3,ERO1A,JUP"
"Apical surface","Apical surface","-1.2336741763274535","0.2191235059760956171981405","0.40248043702938135490754","13","SLC34A3,CRYBG1,ATP8B1,LYN,APP"
"Epithelial mesenchymal transition","Epithelial mesenchymal transition","1.1145276750251498","0.2226487523992322359323026","0.40248043702938135490754","121","ELN,FBN2,IGFBP2,FBLN5,COL11A1,SERPINE2,FGF2,TGFBI,MGP,IGFBP3,TIMP3,CAPG,CXCL12,VCAN,THBS2,ACTA2,FBN1,SNTB1,TPM4,PLOD3,ABI3BP,DAB2,EFEMP2,THY1,MFAP5,DCN,PVR,RHOB"
"Hypoxia","Hypoxia","1.0981450581511738","0.2730769230769230504485279","0.46531519396551723755096","81","SLC2A1,TPI1,TGFBI,IGFBP3,FAM162A,MIF,GAPDH,GLRX,FBP1,PDK3,ERO1A,PGK1,HK1,DCN,UGP2,LXN,CA12,PRKCA,SELENBP1,PRDX5,BGN,SLC25A1,HK2,CSRP2,SRPX,CASP6"
"MYC targets V1","MYC targets V1","1.0691871339508905","0.2788104089219330949944720","0.46531519396551723755096","182","PHB1,HSPE1,PHB2,VDAC1,SLC25A3,MRPL23,NAP1L1,TOMM70,PGK1,IMPDH2,HNRNPA1,UBA2,VBP1,PRPF31,XPOT,TRIM28,PWP1,C1QBP,SSBP1,FBL,RAN,NPM1,EEF1B2,RPL22,PSMB2,MRPL9,RPL6,GOT2,PRDX4,RPS6,COX5A,HPRT1,AP3S1,RPL14,PA2G4,TUFM,CAD,NOP56,DUT,GSPT1,PRDX3,SRSF2,SRSF1,HNRNPA3,HDGF,SNRPD1,PSMA4,CNBP,NDUFAB1,ACP1,LSM7,SRPK1,CBX3,PCBP1,PABPC4,EIF3J,GLO1,RANBP1,UBE2L3,ERH,NOP16,NME1,PSMA6,ILF2,XPO1,HDAC2,RPS2,PSMA1,YWHAQ,RAD23B,RACK1,YWHAE,EIF2S2,EPRS1,ETF1,SNRPD2,SNRPG"
"Protein secretion","Protein secretion","1.1015846403371188","0.2871093750000000000000000","0.46531519396551723755096","75","TSPAN8,KRT18,ATP1A1,M6PR,AP2B1,CTSC,VPS45,COG2,ERGIC3,OCRL,AP3S1,AP2M1,DST,CLTC,RPS6KA3,PPT1,SEC31A,TSG101,YIPF6,TMED10,AP2S1,AP3B1,TMED2,NAPG,MON2,SEC22B"
"Androgen response","Androgen response","1.0995139242829093","0.3033932135728543144637115","0.46821631878557878891911","51","KRT8,ALDH1A3,SRP19,AZGP1,STK39,DBI,H1-0"
"DNA repair","DNA repair","-1.0791092793447175","0.3088235294117647189438003","0.46821631878557878891911","86","CDA,RRM2B,RFC5,NT5C3A,SDCBP,RFC2,RFC4,CMPK2,ELOA,PCNA,RFC3,POLR2H,RBX1,ADA,MPG,CLP1,NME3,RALA,SSRP1,POLD1,FEN1,ALYREF,NELFB,GTF2B,STX3"
"Myogenesis","Myogenesis","-1.0297808740713419","0.3906882591093117640390631","0.56045239412379377341722","77","DES,COL6A3,CLU,COL6A2,MYH11,COL15A1,LSP1,HSPB8,ACTA1,TAGLN,SMTN,COL4A2,COL1A1,GNAO1,ATP6AP1,PRNP,LDB3,MYLK,APP,PDLIM7,ITGA7,TPM2,AGL,DMD,GABARAPL2,SORBS1,PFKM"
"Angiogenesis","Angiogenesis","-1.0490546557289968","0.3935091277890466754385557","0.56045239412379377341722","18","VTN,VAV2"
"UV response up","UV response up","-1.0195593377032670","0.4139344262295082121916323","0.56651785714285707307170","84","DGAT1,RAB27A,C4BPB,ARRB2,CDC34,WIZ,TAP1,RFC4,ATP6V1C1,H2AX,HSPA13,NUP58,CNP,ICAM1,NXF1,DNAJA1,POLR2H,APOM,MGAT1,LYN,POLE3,COL2A1,CDK2,PPAT,PRKACA,MARK2,FEN1,EPHX1"
"PI3K/AKT/mTOR signaling","PI3K/AKT/mTOR signaling","1.0023030618323616","0.4218750000000000000000000","0.56651785714285707307170","61","SLC2A1,AKT1S1,UBE2N,ITPR2,PRKAG1,RAC1,ECSIT,ARHGDIA,ARPC3,TBK1,ACTR3,AP2M1,CLTC,PIN1,RPS6KA3,IRAK4"
"KRAS signaling down","KRAS signaling down","-0.9998132096131337","0.4581673306772908182971094","0.59816290393979631989652","15","MX1,COPZ2,COQ8A,COL2A1,ITIH3"
"P53 pathway","P53 pathway","0.9521451735389341","0.5304518664047150888762872","0.67381723570328666550466","74","GPX2,PRKAB1,SERPINB5,FAM162A,RPL36,TAX1BP3,ISCU"
"Estrogen response late","Estrogen response late","0.9297378506347839","0.5865384615384615640820698","0.72545546558704465667233","81","HMGCS2,ETFB,ALDH3A2,TFF3,CD9,TST,PKP3,CXCL12,WFS1,FLNB,BLVRB,FDFT1,KRT19,PDCD4,IMPA2,CA12,DYNLT3,ARL3"
"Hedgehog signaling","Hedgehog signaling","0.8865389725946277","0.6195219123505976144272722","0.73467908902691514416716","12","RASA1,CRMP1,THY1,DPYSL2"
"Xenobiotic metabolism","Xenobiotic metabolism","-0.9156682949616202","0.6252587991718426829734767","0.73467908902691514416716","90","VTN,ARG1,PROS1,CES1,CDA,PLG,ADH1C,TKFC,FAS,DDC,IGFBP4,NPC1,SSR3"
"TGF-beta signaling","TGF-beta signaling","0.7800301463458074","0.7773359840954274790902900","0.87037037037037034981068","19","LTBP2"
"Apoptosis","Apoptosis","-0.8536542134019238","0.7777777777777777901135892","0.87037037037037034981068","78","F2,ANXA1,CLU,RNASEL,FAS,TAP1,HMGB2,CTH,ISG20,CDKN1B,MGMT,DNAJA1,TOP2A,CD38,CAV1,APP,CASP1,RHOT2,IL18,CDK2,PTK2,RETSAT,PDGFRB"
"MYC targets V2","MYC targets V2","0.7858163994569519","0.8278529980657640674479580","0.90486257928118396520745","45","PHB1,HSPE1,PUS1,NPM1,TBRG4,UNG,PA2G4,FARSA,NOP56,HK2,IPO4,CBX3"
"Apical junction","Apical junction","0.7840388933904667","0.8950381679389313172023890","0.93482948294829493196545","102","EPB41L2,TGFBI,HADH,CALB2,ACTG1,RASA1,VCAN,JUP,CRAT,FBN1,CTNNA1,ACTN4,DLG1,LIMA1,MPZL1,THY1,ACTB,ITGA2,CDH11,GTF2F1,CNN2"
"Unfolded protein response","Unfolded protein response","0.7756161783140674","0.8950495049504950673124881","0.93482948294829493196545","76","MTHFD2,SKIC3,ERO1A,WFS1,SRPRA,TARS1,DKC1,XPOT,LSM4,NPM1,NFYA,FUS,NOP56,ALDH18A1,BANF1,SEC31A,RPS14,PDIA5,EXOC2,KIF5B,SRPRB,PDIA6,EEF2,SLC1A4,SPCS1"
"mTORC1 signaling","MTORC1 signaling","0.7867476803732752","0.9262135922330096970966906","0.94634867032503178219116","137","SLC2A1,TPI1,HSPE1,MTHFD2,CD9,PPA1,GAPDH,GLRX,SHMT2,ERO1A,M6PR,PGK1,IMMT,PHGDH,UFM1,FDXR,GOT1,CTSC,TUBA4A,IGFBP5,UNG,TBK1,ACTR3,HPRT1,GGA2,CYB5B,RPN1,IDH1,PSMA4,HK2,ACTR2,PDAP1,ATP2A2,ADD3,SLC1A5,HMBS,ARPC5L"
"Mitotic spindle","Mitotic spindle","0.6918705041349231","0.9732313575525812776589873","0.97323135755258127765899","103","EPB41L2,RASA1,MARCKS,ACTN4,NCK2,ARHGAP4,DLG1,FLNB,ARHGDIA,LRPPRC,ABR,RAB3GAP1,TUBA4A,HDAC6,KIF15,CDC42EP4,PDLIM5,DST,CD2AP,ARHGAP5,DYNC1H1,PXN,SPTAN1,CDC42BPA,ARL8A,CAPZB,FARP1,KIF5B,CTTN"
