"var1_feature","var2_feature","var1","var2","r","p","p_adjusted","method","p_adjust_method","p_value","cancer_type"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, CCRCC)","0.06205379390436479","0.5334870613891647","0.5334870613891647","pearson","BH","0.5334870613891647","CCRCC"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, OV)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, COAD)","0.08080150334220834","0.4125589062970954","0.4583987847745504","pearson","BH","0.4125589062970954","COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, OV)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, COAD)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, COAD)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"COAD"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, GBM)","-0.08688395735714717","0.3924825343220151","0.4583987847745504","pearson","BH","0.3924825343220151","GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, OV)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, GBM)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, GBM)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"GBM"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, HNSCC)","0.08519233115545909","0.3806834077616887","0.4583987847745504","pearson","BH","0.3806834077616887","HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, OV)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, HNSCC)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"HNSCC"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, LUAD)","0.12923033214451152","0.1784490907042793","0.4583987847745504","pearson","BH","0.1784490907042793","LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, OV)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUAD)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, LUAD)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"LUAD"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, LUSC)","-0.11102846901917311","0.2526417640335186","0.4583987847745504","pearson","BH","0.2526417640335186","LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, OV)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, LUSC)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, LUSC)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"LUSC"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, OV)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, OV)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, OV)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, OV)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, OV)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, OV)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, OV)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, OV)","ATF3 (RNAseq, OV)","KRAS (RNAseq, OV)","0.11942891687637384","0.2852036790906124","0.4583987847745504","pearson","BH","0.2852036790906124","OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, OV)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, OV)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, OV)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"OV"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, OV)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, PDAC)","0.08956859026274321","0.3635367872038630","0.4583987847745504","pearson","BH","0.3635367872038630","PDAC"
"ATF3 (RNAseq, PDAC)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, PDAC)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"PDAC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, OV)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"UCEC"
"ATF3 (RNAseq, UCEC)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, UCEC)","KRAS (RNAseq, UCEC)","-0.12874222310588768","0.2137226560270508","0.4583987847745504","pearson","BH","0.2137226560270508","UCEC"
