Pathway,NAIL DYSPLASIA,ABNORMAL NAIL SURFACE,RIDGED NAIL,FRAGILE NAILS,HYPOPLASIA OF TEETH,ENAMEL HYPOPLASIA,AGENESIS OF MOLAR,ABNORMAL SIZE OF THE DENTAL ROOT,ABNORMALITY OF CANINE,ABNORMAL EYELASH MORPHOLOGY,SPARSE OR ABSENT EYELASHES,CLEFT LIP,AGENESIS OF INCISOR,BLISTERING BY ANATOMICAL LOCATION,ORAL MUCOSAL BLISTERS,HYPOPLASTIC DERMOEPIDERMAL HEMIDESMOSOMES,LAMINA LUCIDA CLEAVAGE,ABNORMAL BLISTERING OF THE SKIN,BLISTERING BY HISTOLOGICAL LOCATION,ABNORMAL DERMOEPIDERMAL JUNCTION MORPHOLOGY,HYPERKERATOSIS,PALMOPLANTAR HYPERKERATOSIS,MITTEN DEFORMITY,ALOPECIA,ALOPECIA OF SCALP,SQUAMOUS CELL CARCINOMA,NAIL DYSTROPHY,ONYCHOGRYPHOSIS OF TOENAILS,ATROPHIC SCARS,REDUCED CONTRAST SENSITIVITY,CENTROCECAL SCOTOMA,LEBER OPTIC ATROPHY,RETINAL NERVE FIBER EDEMA,ABNORMAL CIRCULATING CITRULLINE CONCENTRATION,LOW PLASMA CITRULLINE,MITOCHONDRIAL INHERITANCE,MIXED DEMYELINATING AND AXONAL POLYNEUROPATHY,CENTRAL OPACIFICATION OF THE CORNEA,APLASIA HYPOPLASIA OF THE SCAPULAE,ABNORMALITY OF BODY MASS INDEX
CENTROCECAL SCOTOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,1.0,0.6923076923076923,0.9230769230769231,0.46153846153846156,0.46153846153846156,0.7692307692307693,0.46153846153846156,0.0,0.0,0.0
LEBER OPTIC ATROPHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.0,0.9,0.6,0.6,0.9,0.5,0.0,0.0,0.0
RETINAL NERVE FIBER EDEMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.0,0.4,0.4,0.6666666666666666,0.4,0.06666666666666667,0.0,0.0
ABNORMAL CIRCULATING CITRULLINE CONCENTRATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.24,0.24,1.0,0.76,0.4,0.24,0.0,0.0,0.04
LOW PLASMA CITRULLINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,1.0,1.0,0.5263157894736842,0.3157894736842105,0.0,0.0,0.0
MITOCHONDRIAL INHERITANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.35714285714285715,1.0,0.42857142857142855,0.0,0.0,0.0
MIXED DEMYELINATING AND AXONAL POLYNEUROPATHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.7058823529411765,1.0,0.0,0.0,0.0
CENTRAL OPACIFICATION OF THE CORNEA,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0
APLASIA HYPOPLASIA OF THE SCAPULAE,0.16129032258064516,0.0,0.0,0.0,0.16129032258064516,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.22580645161290322,0.16129032258064516,0.1935483870967742,0.06451612903225806,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.06451612903225806,0.03225806451612903,0.0,0.12903225806451613,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ABNORMALITY OF BODY MASS INDEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,1.0
