"TF","DLD1_HCT15_SW48","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MAFF","3.361189040777071924","3.361189040777071924","3.361189040777071924","Activated","17","viper","17","3.361189040777071924",NA,NA,"5","Enrichr--Queries(rank=5); ENCODE--ChIP-seq(rank=53); GTEx--Coexpression(rank=72); ReMap--ChIP-seq(rank=119); ARCHS4--Coexpression(rank=437)","13","0.003561000000000000","Enrichr Queries,0.003561"
"ARID3A","3.335307492019437436","3.335307492019437436","3.335307492019437436","Activated","18","viper","18","3.335307492019437436",NA,NA,"5","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=242); ARCHS4--Coexpression(rank=712); GTEx--Coexpression(rank=840)","596","0.172399999999999998","Enrichr Queries,0.1724"
"STAT5B","3.298048197400391679","3.298048197400391679","3.298048197400391679","Activated","19","viper","19","3.298048197400391679",NA,NA,"4","ARCHS4--Coexpression(rank=154); ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=452); Enrichr--Queries(rank=965)","341","0.094589999999999994","ARCHS4 Coexpression,0.09459"
"RELB","3.235257657105929052","3.235257657105929052","3.235257657105929052","Activated","20","viper","20","3.235257657105929052",NA,NA,"4","Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=81); ReMap--ChIP-seq(rank=135); GTEx--Coexpression(rank=246)","81","0.021370000000000000","Enrichr Queries,0.02137"
"MYCN","-3.209040609517416875","-3.209040609517416875","3.209040609517416875","Repressed","21","viper","21","3.209040609517416875",NA,NA,"5","Literature--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=745); ARCHS4--Coexpression(rank=797); GTEx--Coexpression(rank=1412)","967","0.310999999999999999","Literature ChIP-seq,0.311"
"NCOA1","3.153520373611205851","3.153520373611205851","3.153520373611205851","Activated","22","viper","22","3.153520373611205851",NA,NA,"4","ReMap--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=343); GTEx--Coexpression(rank=638); Enrichr--Queries(rank=1218)","639","0.185200000000000004","ReMap ChIP-seq,0.1852"
"NFKB1","3.081337749257144321","3.081337749257144321","3.081337749257144321","Activated","23","viper","23","3.081337749257144321",NA,NA,"4","ARCHS4--Coexpression(rank=98); Enrichr--Queries(rank=246); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=838)","226","0.060199999999999997","ARCHS4 Coexpression,0.0602"
"MAFK","3.051095693118127450","3.051095693118127450","3.051095693118127450","Activated","24","viper","24","3.051095693118127450",NA,NA,"5","Enrichr--Queries(rank=2); ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=180); GTEx--Coexpression(rank=356); ARCHS4--Coexpression(rank=1339)","6","0.001425000000000000","Enrichr Queries,0.001425"
"MAFB","3.004372518971094586","3.004372518971094586","3.004372518971094586","Activated","25","viper","25","3.004372518971094586",NA,NA,"4","Enrichr--Queries(rank=48); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=192); ARCHS4--Coexpression(rank=412)","132","0.034189999999999998","Enrichr Queries,0.03419"
"PRDM14","3.002770085962218616","3.002770085962218616","3.002770085962218616","Activated","26","viper","26","3.002770085962218616",NA,NA,"5","Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=989); ARCHS4--Coexpression(rank=1367); GTEx--Coexpression(rank=1403)","1130","0.378000000000000003","Literature ChIP-seq,0.378"
"HIF1A","2.977832561116787513","2.977832561116787513","2.977832561116787513","Activated","27","viper","27","2.977832561116787513",NA,NA,"5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=43); Enrichr--Queries(rank=517); ARCHS4--Coexpression(rank=569); GTEx--Coexpression(rank=1525)","505","0.144800000000000012","ReMap ChIP-seq,0.1448"
"IRF4","2.967867146967628322","2.967867146967628322","2.967867146967628322","Activated","28","viper","28","2.967867146967628322",NA,NA,"5","ARCHS4--Coexpression(rank=15); ReMap--ChIP-seq(rank=63); ENCODE--ChIP-seq(rank=102); Enrichr--Queries(rank=423); GTEx--Coexpression(rank=906)","36","0.009214000000000000","ARCHS4 Coexpression,0.009214"
"HBP1","-2.967043445120219669","-2.967043445120219669","2.967043445120219669","Repressed","29","viper","29","2.967043445120219669",NA,NA,"4","ReMap--ChIP-seq(rank=46); Enrichr--Queries(rank=149); ARCHS4--Coexpression(rank=367); GTEx--Coexpression(rank=1202)","379","0.106100000000000000","Enrichr Queries,0.1061"
"SIX5","-2.950368986609824162","-2.950368986609824162","2.950368986609824162","Repressed","30","viper","30","2.950368986609824162",NA,NA,"5","ENCODE--ChIP-seq(rank=107); Enrichr--Queries(rank=209); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=1034); GTEx--Coexpression(rank=1482)","521","0.148900000000000005","Enrichr Queries,0.1489"
"TFDP1","-2.943194488281438925","-2.943194488281438925","2.943194488281438925","Repressed","31","viper","31","2.943194488281438925",NA,NA,"4","ReMap--ChIP-seq(rank=198); ARCHS4--Coexpression(rank=883); GTEx--Coexpression(rank=1187); Enrichr--Queries(rank=1295)","1377","0.542399999999999993","ARCHS4 Coexpression,0.5424"
"E2F3","-2.935807961540367828","-2.935807961540367828","2.935807961540367828","Repressed","32","viper","32","2.935807961540367828",NA,NA,"3","ARCHS4--Coexpression(rank=880); GTEx--Coexpression(rank=1017); Enrichr--Queries(rank=1155)","1375","0.540499999999999980","ARCHS4 Coexpression,0.5405"
"STAT5A","2.935474002133922955","2.935474002133922955","2.935474002133922955","Activated","33","viper","33","2.935474002133922955",NA,NA,"6","Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=118); GTEx--Coexpression(rank=127); Enrichr--Queries(rank=308); ARCHS4--Coexpression(rank=396)","287","0.079030000000000003","GTEx Coexpression,0.07903"
"CLOCK","2.878722924234869751","2.878722924234869751","2.878722924234869751","Activated","34","viper","34","2.878722924234869751",NA,NA,"5","Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=519); Enrichr--Queries(rank=1232); GTEx--Coexpression(rank=1526)","730","0.213400000000000006","Literature ChIP-seq,0.2134"
"TCF12","2.875012331922964570","2.875012331922964570","2.875012331922964570","Activated","35","viper","35","2.875012331922964570",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=486); Enrichr--Queries(rank=1207); ARCHS4--Coexpression(rank=1341)","95","0.025420000000000002","ENCODE ChIP-seq,0.02542"
"SP3","2.849619192775588505","2.849619192775588505","2.849619192775588505","Activated","36","viper","36","2.849619192775588505",NA,NA,"3","GTEx--Coexpression(rank=618); Enrichr--Queries(rank=1054); ARCHS4--Coexpression(rank=1284)","1144","0.384599999999999997","GTEx Coexpression,0.3846"
"NR2C2","-2.828635618007740771","-2.828635618007740771","2.828635618007740771","Repressed","37","viper","37","2.828635618007740771",NA,NA,"5","ENCODE--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=922); GTEx--Coexpression(rank=1059); Enrichr--Queries(rank=1080)","1419","0.566300000000000026","ARCHS4 Coexpression,0.5663"
"BACH2","2.818362045594096088","2.818362045594096088","2.818362045594096088","Activated","38","viper","38","2.818362045594096088",NA,NA,"4","ReMap--ChIP-seq(rank=199); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=275); ARCHS4--Coexpression(rank=362)","457","0.131300000000000000","GTEx Coexpression,0.1313"
"ZNF384","2.768561823597265104","2.768561823597265104","2.768561823597265104","Activated","39","viper","39","2.768561823597265104",NA,NA,"5","ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=87); Enrichr--Queries(rank=1208); GTEx--Coexpression(rank=1402); ARCHS4--Coexpression(rank=1426)","924","0.292899999999999994","ReMap ChIP-seq,0.2929"
"RELA","2.762209000950641258","2.762209000950641258","2.762209000950641258","Activated","40","viper","40","2.762209000950641258",NA,NA,"6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=672); ARCHS4--Coexpression(rank=1196)","117","0.030490000000000000","Literature ChIP-seq,0.03049"
"MNT","-2.758856306100105016","-2.758856306100105016","2.758856306100105016","Repressed","41","viper","41","2.758856306100105016",NA,NA,"4","ReMap--ChIP-seq(rank=101); Enrichr--Queries(rank=251); GTEx--Coexpression(rank=722); ARCHS4--Coexpression(rank=1081)","621","0.178799999999999987","Enrichr Queries,0.1788"
"SMAD5","-2.757237568749914658","-2.757237568749914658","2.757237568749914658","Repressed","42","viper","42","2.757237568749914658",NA,NA,"4","ReMap--ChIP-seq(rank=225); ARCHS4--Coexpression(rank=483); GTEx--Coexpression(rank=640); Enrichr--Queries(rank=1156)","931","0.296700000000000019","ARCHS4 Coexpression,0.2967"
"IRF3","-2.752086057357889359","-2.752086057357889359","2.752086057357889359","Repressed","43","viper","43","2.752086057357889359",NA,NA,"5","ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=302); Enrichr--Queries(rank=932); GTEx--Coexpression(rank=1550)","640","0.185499999999999998","ARCHS4 Coexpression,0.1855"
"JUNB","2.748428590552184136","2.748428590552184136","2.748428590552184136","Activated","44","viper","44","2.748428590552184136",NA,NA,"4","GTEx--Coexpression(rank=10); Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=63); ReMap--ChIP-seq(rank=82)","22","0.006223000000000000","GTEx Coexpression,0.006223"
"FOXJ2","2.735984467383729246","2.735984467383729246","2.735984467383729246","Activated","45","viper","45","2.735984467383729246",NA,NA,"4","ReMap--ChIP-seq(rank=98); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=620); GTEx--Coexpression(rank=1147)","1016","0.330000000000000016","ReMap ChIP-seq,0.33"
"ZNF217","2.733335294349986899","2.733335294349986899","2.733335294349986899","Activated","46","viper","46","2.733335294349986899",NA,NA,"6","ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=391); Enrichr--Queries(rank=453); GTEx--Coexpression(rank=1041)","278","0.076270000000000004","ENCODE ChIP-seq,0.07627"
"FOXM1","-2.668338060074727291","-2.668338060074727291","2.668338060074727291","Repressed","47","viper","47","2.668338060074727291",NA,NA,"6","ENCODE--ChIP-seq(rank=63); Literature--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=878); GTEx--Coexpression(rank=1191); Enrichr--Queries(rank=1311)","1319","0.498300000000000021","ReMap ChIP-seq,0.4983"
"FOXO1","2.626551817568683944","2.626551817568683944","2.626551817568683944","Activated","48","viper","48","2.626551817568683944",NA,NA,"5","Literature--ChIP-seq(rank=40); GTEx--Coexpression(rank=197); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=220); ARCHS4--Coexpression(rank=282)","432","0.122600000000000001","GTEx Coexpression,0.1226"
"ETV4","2.623146550931122700","2.623146550931122700","2.623146550931122700","Activated","49","viper","49","2.623146550931122700",NA,NA,"4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=232); ARCHS4--Coexpression(rank=814); GTEx--Coexpression(rank=1422)","575","0.165200000000000014","Enrichr Queries,0.1652"
"YY1","-2.611857145651097944","-2.611857145651097944","2.611857145651097944","Repressed","50","viper","50","2.611857145651097944",NA,NA,"6","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=246); ARCHS4--Coexpression(rank=1170); Enrichr--Queries(rank=1312); GTEx--Coexpression(rank=1359)","1390","0.548799999999999955","Literature ChIP-seq,0.5488"
"RUNX2","2.600421887251302078","2.600421887251302078","2.600421887251302078","Activated","51","viper","51","2.600421887251302078",NA,NA,"5","ReMap--ChIP-seq(rank=86); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=208); ARCHS4--Coexpression(rank=226); GTEx--Coexpression(rank=1425)","483","0.138800000000000007","ARCHS4 Coexpression,0.1388"
"NCOA3","2.599215181265283281","2.599215181265283281","2.599215181265283281","Activated","52","viper","52","2.599215181265283281",NA,NA,"4","ReMap--ChIP-seq(rank=282); ARCHS4--Coexpression(rank=303); Enrichr--Queries(rank=734); GTEx--Coexpression(rank=902)","642","0.186099999999999988","ARCHS4 Coexpression,0.1861"
"FOSL1","2.598442082614289106","2.598442082614289106","2.598442082614289106","Activated","53","viper","53","2.598442082614289106",NA,NA,"5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=84); ARCHS4--Coexpression(rank=137); GTEx--Coexpression(rank=168)","130","0.033669999999999999","ReMap ChIP-seq,0.03367"
"SMAD4","2.591523337828877782","2.591523337828877782","2.591523337828877782","Activated","54","viper","54","2.591523337828877782",NA,NA,"5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=66); ARCHS4--Coexpression(rank=826); GTEx--Coexpression(rank=1170); Enrichr--Queries(rank=1303)","244","0.067070000000000005","Literature ChIP-seq,0.06707"
"NR4A1","2.584485221044086067","2.584485221044086067","2.584485221044086067","Activated","55","viper","55","2.584485221044086067",NA,NA,"4","GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=28); ReMap--ChIP-seq(rank=89)","5","0.001245000000000000","GTEx Coexpression,0.001245"
"POU5F1","2.552954278703214008","2.552954278703214008","2.552954278703214008","Activated","56","viper","56","2.552954278703214008",NA,NA,"5","Literature--ChIP-seq(rank=64); GTEx--Coexpression(rank=161); ReMap--ChIP-seq(rank=267); Enrichr--Queries(rank=918); ARCHS4--Coexpression(rank=1017)","357","0.100199999999999997","GTEx Coexpression,0.1002"
"LEF1","-2.529670782546669994","-2.529670782546669994","2.529670782546669994","Repressed","57","viper","57","2.529670782546669994",NA,NA,"4","ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=312); Enrichr--Queries(rank=565); GTEx--Coexpression(rank=627)","660","0.191599999999999993","ARCHS4 Coexpression,0.1916"
"AHR","2.518663755695233597","2.518663755695233597","2.518663755695233597","Activated","58","viper","58","2.518663755695233597",NA,NA,"5","Literature--ChIP-seq(rank=28); Enrichr--Queries(rank=45); ReMap--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=199); GTEx--Coexpression(rank=1172)","125","0.032050000000000002","Enrichr Queries,0.03205"
"FOXL2","2.504073007066805800","2.504073007066805800","2.504073007066805800","Activated","59","viper","59","2.504073007066805800",NA,NA,"3","GTEx--Coexpression(rank=287); Enrichr--Queries(rank=436); ARCHS4--Coexpression(rank=866)","619","0.178600000000000009","GTEx Coexpression,0.1786"
"TFAP4","2.499245516255911959","2.499245516255911959","2.499245516255911959","Activated","60","viper","60","2.499245516255911959",NA,NA,"4","ReMap--ChIP-seq(rank=48); Enrichr--Queries(rank=414); ARCHS4--Coexpression(rank=565); GTEx--Coexpression(rank=1021)","560","0.161599999999999994","ReMap ChIP-seq,0.1616"
"SMAD3","2.472611501566603476","2.472611501566603476","2.472611501566603476","Activated","61","viper","61","2.472611501566603476",NA,NA,"5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=8); Enrichr--Queries(rank=219); GTEx--Coexpression(rank=715); ARCHS4--Coexpression(rank=1201)","66","0.016840000000000001","ReMap ChIP-seq,0.01684"
"NEUROD1","2.427180090494406528","2.427180090494406528","2.427180090494406528","Activated","62","viper","62","2.427180090494406528",NA,NA,"4","ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=418); GTEx--Coexpression(rank=972); Enrichr--Queries(rank=1266)","836","0.256799999999999973","ARCHS4 Coexpression,0.2568"
"RBPJ","2.404457897148966961","2.404457897148966961","2.404457897148966961","Activated","63","viper","63","2.404457897148966961",NA,NA,"5","Literature--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=566); Enrichr--Queries(rank=931); ARCHS4--Coexpression(rank=1525)","1071","0.352200000000000013","GTEx Coexpression,0.3522"
"ELF1","2.378852828380810802","2.378852828380810802","2.378852828380810802","Activated","64","viper","64","2.378852828380810802",NA,NA,"5","ARCHS4--Coexpression(rank=78); ENCODE--ChIP-seq(rank=78); Literature--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=233); GTEx--Coexpression(rank=1038)","188","0.047910000000000001","ARCHS4 Coexpression,0.04791"
"KLF4","2.377924612922357905","2.377924612922357905","2.377924612922357905","Activated","65","viper","65","2.377924612922357905",NA,NA,"5","Enrichr--Queries(rank=29); ARCHS4--Coexpression(rank=39); GTEx--Coexpression(rank=43); ReMap--ChIP-seq(rank=95); Literature--ChIP-seq(rank=103)","78","0.020660000000000001","Enrichr Queries,0.02066"
"ZNF592","2.364587458217898952","2.364587458217898952","2.364587458217898952","Activated","66","viper","66","2.364587458217898952",NA,NA,"4","ReMap--ChIP-seq(rank=52); GTEx--Coexpression(rank=170); ARCHS4--Coexpression(rank=675); Enrichr--Queries(rank=1301)","378","0.105800000000000005","GTEx Coexpression,0.1058"
"MBD1","2.343206654506153619","2.343206654506153619","2.343206654506153619","Activated","67","viper","67","2.343206654506153619",NA,NA,"3","ARCHS4--Coexpression(rank=566); Enrichr--Queries(rank=654); GTEx--Coexpression(rank=714)","1058","0.347700000000000009","ARCHS4 Coexpression,0.3477"
"REL","2.340650729983974276","2.340650729983974276","2.340650729983974276","Activated","68","viper","68","2.340650729983974276",NA,NA,"3","ARCHS4--Coexpression(rank=68); Enrichr--Queries(rank=182); GTEx--Coexpression(rank=185)","163","0.041770000000000002","ARCHS4 Coexpression,0.04177"
"FOXP1","-2.312958246615444136","-2.312958246615444136","2.312958246615444136","Repressed","69","viper","69","2.312958246615444136",NA,NA,"5","Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=285); GTEx--Coexpression(rank=393); ARCHS4--Coexpression(rank=570); Enrichr--Queries(rank=1185)","802","0.244600000000000012","GTEx Coexpression,0.2446"
"THAP1","-2.300035050617553090","-2.300035050617553090","2.300035050617553090","Repressed","70","viper","70","2.300035050617553090",NA,NA,"5","ENCODE--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=250); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=1128); GTEx--Coexpression(rank=1136)","861","0.265699999999999992","Enrichr Queries,0.2657"
"ZBTB11","2.296555375396274634","2.296555375396274634","2.296555375396274634","Activated","71","viper","71","2.296555375396274634",NA,NA,"4","ReMap--ChIP-seq(rank=197); ARCHS4--Coexpression(rank=610); GTEx--Coexpression(rank=1035); Enrichr--Queries(rank=1217)","1123","0.374699999999999978","ARCHS4 Coexpression,0.3747"
"POU2F1","2.272578963965636412","2.272578963965636412","2.272578963965636412","Activated","72","viper","72","2.272578963965636412",NA,NA,"4","ReMap--ChIP-seq(rank=211); GTEx--Coexpression(rank=991); Enrichr--Queries(rank=1101); ARCHS4--Coexpression(rank=1150)","1467","0.616700000000000026","GTEx Coexpression,0.6167"
"MAZ","-2.262860837443340323","-2.262860837443340323","2.262860837443340323","Repressed","73","viper","73","2.262860837443340323",NA,NA,"5","ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=220); GTEx--Coexpression(rank=707); ARCHS4--Coexpression(rank=1039); Enrichr--Queries(rank=1154)","1238","0.440000000000000002","GTEx Coexpression,0.44"
"CEBPB","2.254088496908838390","2.254088496908838390","2.254088496908838390","Activated","74","viper","74","2.254088496908838390",NA,NA,"6","ENCODE--ChIP-seq(rank=12); Enrichr--Queries(rank=39); Literature--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=784); GTEx--Coexpression(rank=857)","105","0.027779999999999999","Enrichr Queries,0.02778"
"HNF4G","2.245480355965683295","2.245480355965683295","2.245480355965683295","Activated","75","viper","75","2.245480355965683295",NA,NA,"5","ARCHS4--Coexpression(rank=12); ReMap--ChIP-seq(rank=31); GTEx--Coexpression(rank=38); ENCODE--ChIP-seq(rank=98); Enrichr--Queries(rank=784)","28","0.007371000000000000","ARCHS4 Coexpression,0.007371"
"MAFG","2.239452986979098004","2.239452986979098004","2.239452986979098004","Activated","76","viper","76","2.239452986979098004",NA,NA,"4","Enrichr--Queries(rank=25); GTEx--Coexpression(rank=94); ReMap--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=792)","69","0.017809999999999999","Enrichr Queries,0.01781"
"GRHL2","2.218916052614923640","2.218916052614923640","2.218916052614923640","Activated","77","viper","77","2.218916052614923640",NA,NA,"5","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=181); GTEx--Coexpression(rank=187); Enrichr--Queries(rank=639)","50","0.013469999999999999","ReMap ChIP-seq,0.01347"
"STAT3","2.205077529227015276","2.205077529227015276","2.205077529227015276","Activated","78","viper","78","2.205077529227015276",NA,NA,"6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=94); Enrichr--Queries(rank=750); GTEx--Coexpression(rank=1128)","56","0.014740000000000000","ARCHS4 Coexpression,0.01474"
"IKZF1","2.173448188027367944","2.173448188027367944","2.173448188027367944","Activated","79","viper","79","2.173448188027367944",NA,NA,"6","ReMap--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=117); ARCHS4--Coexpression(rank=124); GTEx--Coexpression(rank=802); Enrichr--Queries(rank=822)","259","0.070709999999999995","ReMap ChIP-seq,0.07071"
