Pathway,REFERENCE TRANSLATION INITIATION,"REFERENCE MITOCHONDRIAL COMPLEX UCP1 IN
THERMOGENESIS","VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE ELECTRON TRANSFER IN COMPLEX I,"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION INACTIVATED PINK1 TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION","VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SNCA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT SCRAPIE CONFORMATION PRPSC TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT HTT TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT ABETA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MLL AF4 FUSION TO TRANSCRIPTIONAL
ACTIVATION","REFERENCE TBK1 MEDIATED AUTOPHAGOSOME
FORMATION","REFERENCE PINK PARKIN MEDIATED AUTOPHAGOSOME
FORMATION","PATHOGEN ESCHERICHIA TIR TO TLR2 4 MAPK
SIGNALING PATHWAY","REFERENCE ASSEMBLY AND TRAFFICKING OF
TELOMERASE","REFERENCE TYPE II INTERFERON TO JAK STAT
SIGNALING PATHWAY",REFERENCE CYTOKINE JAK STAT SIGNALING PATHWAY,"REFERENCE IL2 FAMILY TO JAK STAT SIGNALING
PATHWAY",REFERENCE EARLY ENDOSOMAL FUSION,"REFERENCE STEROID HORMONE BIOSYNTHESIS
PROGESTERONE TO CORTISOL CORTISONE",REFERENCE ITGA B FAK RAC SIGNALING PATHWAY,"REFERENCE ITGA B RHOGAP RHOA SIGNALING
PATHWAY",REFERENCE ITGA B FAK CDC42 SIGNALING PATHWAY,REFERENCE MGLUR1 TRPC3 SIGNALING PATHWAY,REFERENCE DEUBIQUITINATION OF H2AK119,REFERENCE COPI VESICLE FORMATION,"ENV FACTOR ARSENIC TO ELECTRON TRANSFER IN
COMPLEX IV",REFERENCE ELECTRON TRANSFER IN COMPLEX IV,"REFERENCE BASE EXCISION AND STRAND CLEAVAGE
BY NEIL GLYCOSYLASE","VARIANT CYP11B1 CYP11B2 FUSION TO ACTH
CORTISOL SIGNALING PATHWAY",REFERENCE TNF P38 SIGNALING PATHWAY,"VARIANT MUTATION INACTIVATED AXIN TO WNT
SIGNALING PATHWAY","REFERENCE N GLYCAN PRECURSOR BIOSYNTHESIS GLC
6P TO MAN P DOL",REFERENCE THYROID HORMONE SIGNALING PATHWAY,"REFERENCE ANXA2 S100A10 REGULATED ACTIN
CYTOSKELETON"
"REFERENCE ITGA B RHOGAP RHOA SIGNALING
PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,1.0,0.9130434782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE ITGA B FAK CDC42 SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846153846153846,0.8076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE MGLUR1 TRPC3 SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE DEUBIQUITINATION OF H2AK119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE COPI VESICLE FORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ENV FACTOR ARSENIC TO ELECTRON TRANSFER IN
COMPLEX IV",0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE ELECTRON TRANSFER IN COMPLEX IV,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE BASE EXCISION AND STRAND CLEAVAGE
BY NEIL GLYCOSYLASE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT CYP11B1 CYP11B2 FUSION TO ACTH
CORTISOL SIGNALING PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3225806451612903,0.0,0.0,0.0,0.0
REFERENCE TNF P38 SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,1.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION INACTIVATED AXIN TO WNT
SIGNALING PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"REFERENCE N GLYCAN PRECURSOR BIOSYNTHESIS GLC
6P TO MAN P DOL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
REFERENCE THYROID HORMONE SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"REFERENCE ANXA2 S100A10 REGULATED ACTIN
CYTOSKELETON",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
