"Analysis_Name","Methods","Method_Labels","Method_Count","DEG_ATF3_Primary_Significant","DEG_ATF3_FDR_Significant","Intersected_TF_Count","ATF3_Consensus_Rank","ATF3_Mean_Selected_Rank","ATF3_Best_Selected_Rank","ATF3_Worst_Selected_Rank","ATF3_Source_Method_Count","ATF3_CheA3_Library_Count","ATF3_CheA3_Integrated_TopRank","ATF3_Method_Details","Top1_TF"
"RKO","chea3;enrichr","ChEA3;ENRICHR",2,TRUE,TRUE,357,21,90,9,171,6,6,171,"ChEA3(rank=171); ENRICHR(rank=9, adjP=2.08e-14)","E2F1"
"SW48","chea3;enrichr","ChEA3;ENRICHR",2,TRUE,FALSE,312,23,79.5,37,122,6,6,122,"ChEA3(rank=122); ENRICHR(rank=37, adjP=6.51e-07)","GRHL3"
"SW948","chea3;enrichr","ChEA3;ENRICHR",2,TRUE,FALSE,319,3,18.5,2,35,6,6,2,"ChEA3(rank=2); ENRICHR(rank=35, adjP=0.000155)","FOS"
"ALL","chea3;trrust","ChEA3;TRRUST",2,TRUE,FALSE,253,2,5.5,1,10,6,6,1,"ChEA3(rank=1); TRRUST(rank=10, P=0.00121)","FOS"
"DLD1","chea3;trrust","ChEA3;TRRUST",2,TRUE,TRUE,253,33,143.5,43,244,6,6,244,"ChEA3(rank=244); TRRUST(rank=43, P=0.0206)","TFDP1"
"DLD1_HCT15","chea3;trrust","ChEA3;TRRUST",2,TRUE,FALSE,253,2,7,1,13,6,6,1,"ChEA3(rank=1); TRRUST(rank=13, P=0.0102)","FOS"
"DLD1_HCT15_SW48","chea3;trrust","ChEA3;TRRUST",2,TRUE,FALSE,253,5,21,1,41,6,6,1,"ChEA3(rank=1); TRRUST(rank=41, P=0.0786)","FOS"
"HCT15","chea3;trrust","ChEA3;TRRUST",2,TRUE,TRUE,253,14,45.5,1,90,6,6,1,"ChEA3(rank=1); TRRUST(rank=90, P=0.0641)","JUN"
"HT55","chea3;trrust","ChEA3;TRRUST",2,FALSE,FALSE,253,4,30.5,4,57,6,6,4,"ChEA3(rank=4); TRRUST(rank=57, P=0.034)","KLF4"
"RKO","chea3;trrust","ChEA3;TRRUST",2,TRUE,TRUE,253,38,150.5,130,171,6,6,171,"ChEA3(rank=171); TRRUST(rank=130, P=0.185)","E2F1"
"SW48","chea3;trrust","ChEA3;TRRUST",2,TRUE,FALSE,253,44,142,122,162,6,6,122,"ChEA3(rank=122); TRRUST(rank=162, P=0.305)","FOS"
