Pathway,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,COIL TARGET GENES,RBM15 TARGET GENES,PIAS4 TARGET GENES,MAML1 TARGET GENES,CENPT TARGET GENES,TERF1 TARGET GENES,TERF2 TARGET GENES,MAPK3 TARGET GENES,MAP2K1 TARGET GENES,ZBED4 TARGET GENES,HSF2 TARGET GENES,MIER1 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",DLX2 TARGET GENES,LMX1B TARGET GENES,ATF5 TARGET GENES,EMX1 TARGET GENES,NR0B1 TARGET GENES,CHAF1A TARGET GENES,BRF2 TARGET GENES,CDC5L TARGET GENES,F10 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",MCRS1 TARGET GENES,ZNF416 TARGET GENES,ZNF785 TARGET GENES,ZZZ3 TARGET GENES,ELF5 TARGET GENES,ZNF837 TARGET GENES,ZNF211 TARGET GENES,ZNF214 TARGET GENES,TFAM TARGET GENES,FOXO4 TARGET GENES,SKP2 TARGET GENES
MAP2K1 TARGET GENES,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
ZBED4 TARGET GENES,0.045454545454545456,0.03896103896103896,0.003246753246753247,0.022727272727272728,0.00974025974025974,0.01948051948051948,0.003246753246753247,0.00974025974025974,0.00974025974025974,0.025974025974025976,0.003246753246753247,1.0,0.02922077922077922,0.003246753246753247,0.00974025974025974,0.025974025974025976,0.003246753246753247,0.032467532467532464,0.04220779220779221,0.01948051948051948,0.006493506493506494,0.0,0.025974025974025976,0.01948051948051948,0.01948051948051948,0.00974025974025974,0.0,0.006493506493506494,0.04220779220779221,0.06493506493506493,0.0,0.0,0.0,0.0,0.06818181818181818,0.006493506493506494
HSF2 TARGET GENES,0.04819277108433735,0.0321285140562249,0.004016064257028112,0.020080321285140562,0.012048192771084338,0.008032128514056224,0.012048192771084338,0.004016064257028112,0.004016064257028112,0.024096385542168676,0.008032128514056224,0.03614457831325301,1.0,0.0321285140562249,0.004016064257028112,0.0642570281124498,0.012048192771084338,0.14859437751004015,0.012048192771084338,0.03614457831325301,0.012048192771084338,0.0,0.04819277108433735,0.012048192771084338,0.028112449799196786,0.012048192771084338,0.004016064257028112,0.012048192771084338,0.0321285140562249,0.04819277108433735,0.0,0.0,0.0,0.0,0.04417670682730924,0.004016064257028112
MIER1 TARGET GENES,0.010638297872340425,0.02127659574468085,0.0,0.023936170212765957,0.0026595744680851063,0.005319148936170213,0.005319148936170213,0.013297872340425532,0.005319148936170213,0.007978723404255319,0.0,0.0026595744680851063,0.02127659574468085,1.0,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.0425531914893617,0.018617021276595744,0.023936170212765957,0.018617021276595744,0.0,0.08776595744680851,0.015957446808510637,0.03723404255319149,0.0,0.0,0.007978723404255319,0.026595744680851064,0.05053191489361702,0.0,0.0,0.0,0.0,0.010638297872340425,0.007978723404255319
"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",0.136986301369863,0.1095890410958904,0.0,0.0547945205479452,0.0136986301369863,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0821917808219178,0.0,0.0410958904109589,0.0136986301369863,0.0410958904109589,1.0,0.0136986301369863,0.0,0.0273972602739726,0.0136986301369863,0.0410958904109589,0.0136986301369863,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0136986301369863,0.0684931506849315,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0,0.0547945205479452,0.0
DLX2 TARGET GENES,0.0273972602739726,0.03424657534246575,0.010273972602739725,0.010273972602739725,0.0136986301369863,0.02054794520547945,0.02054794520547945,0.03767123287671233,0.02054794520547945,0.00684931506849315,0.0,0.0273972602739726,0.0547945205479452,0.010273972602739725,0.003424657534246575,1.0,0.0273972602739726,0.1678082191780822,0.09246575342465753,0.0273972602739726,0.00684931506849315,0.0,0.0273972602739726,0.017123287671232876,0.03767123287671233,0.0,0.003424657534246575,0.003424657534246575,0.030821917808219176,0.030821917808219176,0.003424657534246575,0.0,0.003424657534246575,0.0,0.03767123287671233,0.0
LMX1B TARGET GENES,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.1,0.1,0.0,0.26666666666666666,1.0,0.16666666666666666,0.1,0.03333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
ATF5 TARGET GENES,0.05806451612903226,0.06881720430107527,0.0064516129032258064,0.017204301075268817,0.0064516129032258064,0.0064516129032258064,0.021505376344086023,0.02795698924731183,0.010752688172043012,0.012903225806451613,0.002150537634408602,0.021505376344086023,0.07956989247311828,0.034408602150537634,0.004301075268817204,0.1053763440860215,0.010752688172043012,1.0,0.07956989247311828,0.015053763440860216,0.015053763440860216,0.010752688172043012,0.05161290322580645,0.012903225806451613,0.03870967741935484,0.0064516129032258064,0.0,0.002150537634408602,0.03655913978494624,0.06881720430107527,0.0,0.0,0.0,0.0,0.05806451612903226,0.002150537634408602
EMX1 TARGET GENES,0.05172413793103448,0.06465517241379311,0.0,0.017241379310344827,0.01293103448275862,0.02586206896551724,0.004310344827586207,0.02586206896551724,0.021551724137931036,0.021551724137931036,0.0,0.05603448275862069,0.01293103448275862,0.03017241379310345,0.004310344827586207,0.11637931034482758,0.01293103448275862,0.15948275862068967,1.0,0.021551724137931036,0.008620689655172414,0.0,0.034482758620689655,0.008620689655172414,0.017241379310344827,0.004310344827586207,0.0,0.008620689655172414,0.017241379310344827,0.05603448275862069,0.0,0.0,0.0,0.004310344827586207,0.04741379310344827,0.0
NR0B1 TARGET GENES,0.05013192612137203,0.05804749340369393,0.0,0.0316622691292876,0.005277044854881266,0.029023746701846966,0.0,0.021108179419525065,0.0079155672823219,0.03430079155672823,0.005277044854881266,0.0158311345646438,0.023746701846965697,0.023746701846965697,0.0079155672823219,0.021108179419525065,0.002638522427440633,0.018469656992084433,0.013192612137203167,1.0,0.04221635883905013,0.0,0.0158311345646438,0.023746701846965697,0.052770448548812667,0.002638522427440633,0.0,0.005277044854881266,0.021108179419525065,0.04221635883905013,0.0,0.0,0.0,0.0,0.018469656992084433,0.005277044854881266
CHAF1A TARGET GENES,0.05102040816326531,0.04081632653061224,0.0,0.061224489795918366,0.0,0.04081632653061224,0.0,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.030612244897959183,0.07142857142857142,0.01020408163265306,0.02040816326530612,0.02040816326530612,0.07142857142857142,0.02040816326530612,0.16326530612244897,1.0,0.0,0.04081632653061224,0.08163265306122448,0.01020408163265306,0.01020408163265306,0.0,0.02040816326530612,0.01020408163265306,0.16326530612244897,0.0,0.0,0.0,0.01020408163265306,0.02040816326530612,0.0
BRF2 TARGET GENES,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.95,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0
CDC5L TARGET GENES,0.03235294117647059,0.2088235294117647,0.0058823529411764705,0.020588235294117647,0.0058823529411764705,0.014705882352941176,0.008823529411764706,0.01764705882352941,0.0,0.014705882352941176,0.0029411764705882353,0.023529411764705882,0.03529411764705882,0.09705882352941177,0.0029411764705882353,0.023529411764705882,0.0058823529411764705,0.07058823529411765,0.023529411764705882,0.01764705882352941,0.011764705882352941,0.05588235294117647,1.0,0.03235294117647059,0.029411764705882353,0.0,0.0058823529411764705,0.020588235294117647,0.047058823529411764,0.026470588235294117,0.0,0.0,0.0,0.0,0.052941176470588235,0.01764705882352941
F10 TARGET GENES,0.01384083044982699,0.05536332179930796,0.0,0.006920415224913495,0.0,0.01730103806228374,0.010380622837370242,0.02422145328719723,0.010380622837370242,0.0034602076124567475,0.0,0.020761245674740483,0.010380622837370242,0.020761245674740483,0.0034602076124567475,0.01730103806228374,0.0,0.020761245674740483,0.006920415224913495,0.031141868512110725,0.02768166089965398,0.0034602076124567475,0.03806228373702422,1.0,0.031141868512110725,0.0034602076124567475,0.0,0.0034602076124567475,0.02422145328719723,0.03460207612456748,0.0,0.0,0.0034602076124567475,0.0,0.02768166089965398,0.0034602076124567475
"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",0.00477326968973747,0.021479713603818614,0.002386634844868735,0.016706443914081145,0.0,0.01909307875894988,0.00477326968973747,0.007159904534606206,0.011933174224343675,0.007159904534606206,0.0,0.014319809069212411,0.016706443914081145,0.03341288782816229,0.0,0.026252983293556086,0.00477326968973747,0.04295942720763723,0.00954653937947494,0.0477326968973747,0.002386634844868735,0.0,0.02386634844868735,0.021479713603818614,1.0,0.00954653937947494,0.0,0.00477326968973747,0.021479713603818614,0.026252983293556086,0.0,0.0,0.00477326968973747,0.00477326968973747,0.01909307875894988,0.0
MCRS1 TARGET GENES,0.023809523809523808,0.07142857142857142,0.0,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.0,0.023809523809523808,0.09523809523809523,1.0,0.0,0.0,0.047619047619047616,0.11904761904761904,0.0,0.0,0.0,0.0,0.023809523809523808,0.0
ZNF416 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
ZNF785 TARGET GENES,0.0,0.014705882352941176,0.0,0.0,0.014705882352941176,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.029411764705882353,0.04411764705882353,0.04411764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.10294117647058823,0.014705882352941176,0.029411764705882353,0.0,0.04411764705882353,1.0,0.07352941176470588,0.04411764705882353,0.0,0.0,0.0,0.0,0.04411764705882353,0.04411764705882353
ZZZ3 TARGET GENES,0.05329153605015674,0.05956112852664577,0.0,0.03134796238244514,0.0,0.034482758620689655,0.018808777429467086,0.01567398119122257,0.0,0.018808777429467086,0.003134796238244514,0.04075235109717868,0.025078369905956112,0.03134796238244514,0.01567398119122257,0.02821316614420063,0.0,0.05329153605015674,0.012539184952978056,0.025078369905956112,0.003134796238244514,0.003134796238244514,0.050156739811912224,0.0219435736677116,0.02821316614420063,0.006269592476489028,0.003134796238244514,0.01567398119122257,1.0,0.06269592476489028,0.0,0.0,0.006269592476489028,0.003134796238244514,0.034482758620689655,0.006269592476489028
ELF5 TARGET GENES,0.016494845360824743,0.05154639175257732,0.0,0.012371134020618556,0.008247422680412371,0.01443298969072165,0.004123711340206186,0.018556701030927835,0.010309278350515464,0.016494845360824743,0.002061855670103093,0.041237113402061855,0.024742268041237112,0.03917525773195876,0.002061855670103093,0.018556701030927835,0.006185567010309278,0.06597938144329897,0.026804123711340205,0.032989690721649485,0.032989690721649485,0.0,0.018556701030927835,0.020618556701030927,0.02268041237113402,0.010309278350515464,0.0,0.006185567010309278,0.041237113402061855,1.0,0.004123711340206186,0.0,0.0,0.0,0.06804123711340206,0.0
ZNF837 TARGET GENES,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
ZNF211 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZNF214 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,1.0,0.23809523809523808,0.0,0.0
TFAM TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.09259259259259259,1.0,0.0,0.0
FOXO4 TARGET GENES,0.020671834625323,0.05167958656330749,0.002583979328165375,0.007751937984496124,0.007751937984496124,0.0103359173126615,0.002583979328165375,0.015503875968992248,0.012919896640826873,0.012919896640826873,0.0,0.05426356589147287,0.028423772609819122,0.0103359173126615,0.0103359173126615,0.028423772609819122,0.00516795865633075,0.06976744186046512,0.028423772609819122,0.01808785529715762,0.00516795865633075,0.007751937984496124,0.046511627906976744,0.020671834625323,0.020671834625323,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.028423772609819122,0.08527131782945736,0.0,0.0,0.0,0.0,1.0,0.0103359173126615
SKP2 TARGET GENES,0.014492753623188406,0.014492753623188406,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.014492753623188406,0.043478260869565216,0.0,0.0,0.0,0.014492753623188406,0.0,0.028985507246376812,0.0,0.0,0.08695652173913043,0.014492753623188406,0.0,0.0,0.0,0.043478260869565216,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,1.0
